sequential: 4196308us [82011us] (100.00%; 100.00%)
	InferType: 45883us [45883us] (1.09%; 1.09%)
	SimplifyExpr: 4068414us [1580560us] (96.95%; 96.95%)
		InferType: 79134us [79134us] (1.89%; 1.95%)
		InferType: 81623us [81623us] (1.95%; 2.01%)
		InferType: 77798us [77798us] (1.85%; 1.91%)
		InferType: 92815us [92815us] (2.21%; 2.28%)
		InferType: 86364us [86364us] (2.06%; 2.12%)
		InferType: 73076us [73076us] (1.74%; 1.80%)
		InferType: 72921us [72921us] (1.74%; 1.79%)
		InferType: 77678us [77678us] (1.85%; 1.91%)
		InferType: 86466us [86466us] (2.06%; 2.13%)
		InferType: 72442us [72442us] (1.73%; 1.78%)
		InferType: 70403us [70403us] (1.68%; 1.73%)
		InferType: 65935us [65935us] (1.57%; 1.62%)
		InferType: 71862us [71862us] (1.71%; 1.77%)
		InferType: 69145us [69145us] (1.65%; 1.70%)
		InferType: 68180us [68180us] (1.62%; 1.68%)
		InferType: 71744us [71744us] (1.71%; 1.76%)
		InferType: 74068us [74068us] (1.77%; 1.82%)
		InferType: 69776us [69776us] (1.66%; 1.72%)
		InferType: 67686us [67686us] (1.61%; 1.66%)
		InferType: 67885us [67885us] (1.62%; 1.67%)
		InferType: 69219us [69219us] (1.65%; 1.70%)
		InferType: 68759us [68759us] (1.64%; 1.69%)
		InferType: 69045us [69045us] (1.65%; 1.70%)
		InferType: 69400us [69400us] (1.65%; 1.71%)
		InferType: 67306us [67306us] (1.60%; 1.65%)
		InferType: 64604us [64604us] (1.54%; 1.59%)
		InferType: 69932us [69932us] (1.67%; 1.72%)
		InferType: 68842us [68842us] (1.64%; 1.69%)
		InferType: 66557us [66557us] (1.59%; 1.64%)
		InferType: 66957us [66957us] (1.60%; 1.65%)
		InferType: 68112us [68112us] (1.62%; 1.67%)
		InferType: 67351us [67351us] (1.61%; 1.66%)
		InferType: 69429us [69429us] (1.65%; 1.71%)
		InferType: 69285us [69285us] (1.65%; 1.70%)
		InferType: 36057us [36057us] (0.86%; 0.89%)
