,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass
0,11,11,9,1,4,1,1,1,1,1,sequential
1,11,11,9,1,4,1,1,1,1,1,InferType
2,11,11,9,1,4,1,1,1,1,1,AlterOpLayout
3,11,11,9,1,4,1,1,1,1,1,InferType
4,11,11,9,1,4,1,1,1,1,1,InferType
5,11,11,9,1,4,1,1,1,1,1,FuseOps
6,11,11,9,1,4,1,1,1,1,1,InferType
7,11,11,9,1,4,1,1,1,1,1,InferType
8,11,11,9,1,4,1,1,1,1,1,SimplifyExpr
9,11,11,9,1,4,1,1,1,1,1,InferType
10,11,11,9,1,4,1,1,1,1,1,InferType
11,11,11,9,1,4,1,1,1,1,1,InferType
12,11,11,9,1,4,1,1,1,1,1,InferType
13,11,11,9,1,4,1,1,1,1,1,InferType
14,11,11,9,1,4,1,1,1,1,1,InferType
15,11,11,9,1,4,1,1,1,1,1,InferType
16,11,11,9,1,4,1,1,1,1,1,InferType
17,11,11,9,1,4,1,1,1,1,1,InferType
18,11,11,9,1,4,1,1,1,1,1,InferType
19,11,11,9,1,4,1,1,1,1,1,InferType
20,11,11,9,1,4,1,1,1,1,1,InferType
21,11,11,9,1,4,1,1,1,1,1,InferType
22,11,11,9,1,4,1,1,1,1,1,InferType
23,11,11,9,1,4,1,1,1,1,1,InferType
24,11,11,9,1,4,1,1,1,1,1,InferType
25,11,11,9,1,4,1,1,1,1,1,InferType
26,11,11,9,1,4,1,1,1,1,1,InferType
27,11,11,9,1,4,1,1,1,1,1,FoldConstant
28,11,11,9,1,4,1,1,1,1,1,InferType
29,11,11,9,1,4,1,1,1,1,1,InferType
30,11,11,9,1,4,1,1,1,1,1,DeadCodeElimination
31,11,11,9,1,4,1,1,1,1,1,RemoveUnusedFunctions
