,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass,const
0,11,11,9,1,4,1,1,1,1,1,InferType,0
1,11,11,9,1,4,1,1,1,1,1,InferType,0
2,11,11,9,1,4,1,1,1,1,1,InferType,0
3,11,11,9,1,4,1,1,1,1,1,InferType,0
4,11,11,9,1,4,1,1,1,1,1,InferType,0
5,11,11,9,1,4,1,1,1,1,1,InferType,0
6,11,11,9,1,4,1,1,1,1,1,InferType,0
7,11,11,9,1,4,1,1,1,1,1,InferType,0
8,11,11,9,1,4,1,1,1,1,1,InferType,0
9,11,11,9,1,4,1,1,1,1,1,InferType,0
10,11,11,9,1,4,1,1,1,1,1,InferType,0
11,11,11,9,1,4,1,1,1,1,1,InferType,0
12,11,11,9,1,4,1,1,1,1,1,InferType,0
13,11,11,9,1,4,1,1,1,1,1,InferType,0
14,11,11,9,1,4,1,1,1,1,1,InferType,0
15,11,11,9,1,4,1,1,1,1,1,InferType,0
16,11,11,9,1,4,1,1,1,1,1,InferType,0
17,11,11,9,1,4,1,1,1,1,1,InferType,0
18,11,11,9,1,4,1,1,1,1,1,InferType,0
19,11,11,9,1,4,1,1,1,1,1,SimplifyExpr,0
20,11,11,9,1,4,1,1,1,1,1,InferType,0
21,11,11,9,1,4,1,1,1,1,1,InferType,0
22,11,11,9,1,4,1,1,1,1,1,FuseOps,0
23,11,11,9,1,4,1,1,1,1,1,InferType,0
24,11,11,9,1,4,1,1,1,1,1,InferType,0
25,11,11,9,1,4,1,1,1,1,1,AlterOpLayout,0
26,11,11,9,1,4,1,1,1,1,1,InferType,0
27,11,11,9,1,4,1,1,1,1,1,DeadCodeElimination,0
28,11,11,9,1,4,1,1,1,1,1,InferType,0
29,11,11,9,1,4,1,1,1,1,1,FoldConstant,0
30,11,11,9,1,4,1,1,1,1,1,RemoveUnusedFunctions,0
31,11,11,9,1,4,1,1,1,1,1,sequential,0
