,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,layout_transform,expand_dims,pass
0,11,11,9,1,4,1,1,1,1,1.0,,,InferType
1,11,11,9,1,4,1,1,1,1,1.0,,,InferType
2,11,11,9,1,4,1,1,1,1,1.0,,,AlterOpLayout
3,11,11,9,1,4,1,1,1,1,1.0,,,InferType
4,11,11,9,1,4,1,1,1,1,1.0,,,InferType
5,11,11,9,1,4,1,1,1,1,1.0,,,CanonicalizeCast
6,11,11,9,1,4,1,1,1,1,1.0,,,InferType
7,11,11,9,1,5,1,1,1,1,,,,InferType
8,11,11,9,1,5,1,1,1,1,,,,CanonicalizeOps
9,11,11,9,1,5,1,1,1,1,,,,InferType
10,11,11,9,1,5,1,1,1,1,,,,InferType
11,11,11,9,1,5,1,1,1,1,,,,CanonicalizeOps
12,11,11,9,1,5,1,1,1,1,,13.0,1.0,InferType
13,11,11,9,1,5,1,1,1,1,,13.0,1.0,ConvertLayout
14,11,11,9,1,5,1,1,1,1,,13.0,1.0,InferType
15,11,11,9,1,5,1,1,1,1,,13.0,1.0,InferType
16,11,11,9,1,5,1,1,1,1,,13.0,1.0,DefuseOps
17,11,11,9,1,5,1,1,1,1,,13.0,1.0,InferType
18,11,11,9,1,5,1,1,1,1,,13.0,1.0,InferType
19,11,11,9,1,5,1,1,1,1,,13.0,1.0,EliminateCommonSubexpr
20,11,11,9,1,5,1,1,1,1,,13.0,1.0,sequential
