,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass,const
0,11,11,9,1,4,1,1,1,1,1,sequential,0
1,11,11,9,1,4,1,1,1,1,1,InferType,0
2,11,11,9,1,4,1,1,1,1,1,CanonicalizeCast,0
3,11,11,9,1,4,1,1,1,1,1,InferType,0
4,11,11,9,1,4,1,1,1,1,1,InferType,0
5,11,11,9,1,4,1,1,1,1,1,AlterOpLayout,0
6,11,11,9,1,4,1,1,1,1,1,InferType,0
7,11,11,9,1,4,1,1,1,1,1,InferType,0
8,11,11,9,1,4,1,1,1,1,1,DefuseOps,0
9,11,11,9,1,4,1,1,1,1,1,InferType,0
10,11,11,9,1,4,1,1,1,1,1,InferType,0
11,11,11,9,1,4,1,1,1,1,1,FakeQuantizationToInteger,0
12,11,11,9,1,4,1,1,1,1,1,InferType,0
