,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass
0,11,11,9,1,4,1,1,1,1,1.0,sequential
1,11,11,9,1,4,1,1,1,1,1.0,InferType
2,11,11,9,1,4,1,1,1,1,1.0,FakeQuantizationToInteger
3,11,11,9,1,4,1,1,1,1,1.0,InferType
4,11,11,9,1,4,1,1,1,1,1.0,InferType
5,11,11,9,1,4,1,1,1,1,1.0,AlterOpLayout
6,11,11,9,1,4,1,1,1,1,1.0,InferType
7,11,11,9,1,4,1,1,1,1,1.0,ToGraphNormalForm
8,11,11,9,1,4,1,1,1,1,1.0,InferType
9,11,11,9,1,4,1,1,1,1,1.0,InferType
10,11,11,9,1,4,1,1,1,1,1.0,CanonicalizeOps
11,11,11,9,1,5,1,1,1,1,,InferType
