,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass
0,11,11,9,1,4,1,1,1,1,1,sequential
1,11,11,9,1,4,1,1,1,1,1,InferType
2,11,11,9,1,4,1,1,1,1,1,SimplifyExpr
3,11,11,9,1,4,1,1,1,1,1,InferType
4,11,11,9,1,4,1,1,1,1,1,InferType
5,11,11,9,1,4,1,1,1,1,1,InferType
6,11,11,9,1,4,1,1,1,1,1,InferType
7,11,11,9,1,4,1,1,1,1,1,InferType
8,11,11,9,1,4,1,1,1,1,1,InferType
9,11,11,9,1,4,1,1,1,1,1,InferType
10,11,11,9,1,4,1,1,1,1,1,InferType
11,11,11,9,1,4,1,1,1,1,1,InferType
12,11,11,9,1,4,1,1,1,1,1,InferType
13,11,11,9,1,4,1,1,1,1,1,InferType
14,11,11,9,1,4,1,1,1,1,1,InferType
15,11,11,9,1,4,1,1,1,1,1,InferType
16,11,11,9,1,4,1,1,1,1,1,InferType
17,11,11,9,1,4,1,1,1,1,1,InferType
18,11,11,9,1,4,1,1,1,1,1,InferType
19,11,11,9,1,4,1,1,1,1,1,InferType
20,11,11,9,1,4,1,1,1,1,1,InferType
