,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass,const
0,53,53,49,1,16,1,1,1,1,1,InferType,0
1,53,53,49,1,16,1,1,1,1,1,InferType,0
2,53,53,49,1,16,1,1,1,1,1,AlterOpLayout,0
3,53,53,49,1,16,1,1,1,1,1,InferType,0
4,53,53,49,1,16,1,1,1,1,1,InferType,0
5,53,53,49,1,16,1,1,1,1,1,FuseOps,0
6,53,53,49,1,16,1,1,1,1,1,InferType,0
7,53,53,49,1,16,1,1,1,1,1,InferType,0
8,53,53,49,1,16,1,1,1,1,1,InferType,0
9,53,53,49,1,16,1,1,1,1,1,InferType,0
10,53,53,49,1,16,1,1,1,1,1,InferType,0
11,53,53,49,1,16,1,1,1,1,1,InferType,0
12,53,53,49,1,16,1,1,1,1,1,InferType,0
13,53,53,49,1,16,1,1,1,1,1,InferType,0
14,53,53,49,1,16,1,1,1,1,1,InferType,0
15,53,53,49,1,16,1,1,1,1,1,InferType,0
16,53,53,49,1,16,1,1,1,1,1,InferType,0
17,53,53,49,1,16,1,1,1,1,1,InferType,0
18,53,53,49,1,16,1,1,1,1,1,InferType,0
19,53,53,49,1,16,1,1,1,1,1,InferType,0
20,53,53,49,1,16,1,1,1,1,1,InferType,0
21,53,53,49,1,16,1,1,1,1,1,InferType,0
22,53,53,49,1,16,1,1,1,1,1,InferType,0
23,53,53,49,1,16,1,1,1,1,1,InferType,0
24,53,53,49,1,16,1,1,1,1,1,InferType,0
25,53,53,49,1,16,1,1,1,1,1,SimplifyExpr,0
26,53,53,49,1,16,1,1,1,1,1,InferType,0
27,53,53,49,1,16,1,1,1,1,1,FoldConstant,0
28,53,53,49,1,16,1,1,1,1,1,InferType,0
29,53,53,49,1,16,1,1,1,1,1,DeadCodeElimination,0
30,53,53,49,1,16,1,1,1,1,1,RemoveUnusedFunctions,0
31,53,53,49,1,16,1,1,1,1,1,sequential,0
