,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass,const
0,53,53,49,1,16,1,1,1,1,1.0,InferType,0
1,53,53,49,1,16,1,1,1,1,1.0,InferType,0
2,53,53,49,1,16,1,1,1,1,1.0,FakeQuantizationToInteger,0
3,53,53,49,1,16,1,1,1,1,1.0,InferType,0
4,53,53,49,1,16,1,1,1,1,1.0,InferType,0
5,53,53,49,1,16,1,1,1,1,1.0,AlterOpLayout,0
6,53,53,49,1,16,1,1,1,1,1.0,InferType,0
7,53,53,49,1,16,1,1,1,1,1.0,ToGraphNormalForm,0
8,53,53,49,1,16,1,1,1,1,1.0,InferType,0
9,53,53,49,1,17,1,1,1,1,,InferType,0
10,53,53,49,1,17,1,1,1,1,,CanonicalizeOps,0
11,53,53,49,1,17,1,1,1,1,,sequential,0
