sequential: 10us [10us] (0.00%; 0.00%)
sequential: 23262912us [152us] (93.81%; 93.81%)
	RemoveUnusedFunctions: 1483us [1483us] (0.01%; 0.01%)
	ToBasicBlockNormalForm: 24577us [24577us] (0.10%; 0.11%)
	sequential: 284284us [41us] (1.15%; 1.22%)
		InferType: 59014us [59014us] (0.24%; 20.76%)
		Legalize: 79152us [20724us] (0.32%; 27.84%)
			InferType: 58428us [58428us] (0.24%; 73.82%)
		InferType: 62804us [62804us] (0.25%; 22.09%)
		Legalize: 83274us [20325us] (0.34%; 29.29%)
			InferType: 62949us [62949us] (0.25%; 75.59%)
	InferType: 65335us [65335us] (0.26%; 0.28%)
	Legalize: 101013us [35826us] (0.41%; 0.43%)
		InferType: 65187us [65187us] (0.26%; 64.53%)
	InferType: 61205us [61205us] (0.25%; 0.26%)
	SimplifyInference: 97511us [24150us] (0.39%; 0.42%)
		InferType: 73361us [73361us] (0.30%; 75.23%)
	FoldConstant: 16202256us [16131784us] (65.34%; 69.65%)
		InferType: 70472us [70472us] (0.28%; 0.43%)
	FoldScaleAxis: 89445us [18us] (0.36%; 0.38%)
		FoldConstant: 89426us [22401us] (0.36%; 99.98%)
			InferType: 67025us [67025us] (0.27%; 74.95%)
	InferType: 64727us [64727us] (0.26%; 0.28%)
	SimplifyExpr: 5316981us [1100197us] (21.44%; 22.86%)
		InferType: 121901us [121901us] (0.49%; 2.29%)
		InferType: 116324us [116324us] (0.47%; 2.19%)
		InferType: 127273us [127273us] (0.51%; 2.39%)
		InferType: 119091us [119091us] (0.48%; 2.24%)
		InferType: 115739us [115739us] (0.47%; 2.18%)
		InferType: 124925us [124925us] (0.50%; 2.35%)
		InferType: 131607us [131607us] (0.53%; 2.48%)
		InferType: 118358us [118358us] (0.48%; 2.23%)
		InferType: 125514us [125514us] (0.51%; 2.36%)
		InferType: 116021us [116021us] (0.47%; 2.18%)
		InferType: 118652us [118652us] (0.48%; 2.23%)
		InferType: 122275us [122275us] (0.49%; 2.30%)
		InferType: 127067us [127067us] (0.51%; 2.39%)
		InferType: 115923us [115923us] (0.47%; 2.18%)
		InferType: 117974us [117974us] (0.48%; 2.22%)
		InferType: 117913us [117913us] (0.48%; 2.22%)
		InferType: 114754us [114754us] (0.46%; 2.16%)
		InferType: 120807us [120807us] (0.49%; 2.27%)
		InferType: 128877us [128877us] (0.52%; 2.42%)
		InferType: 118025us [118025us] (0.48%; 2.22%)
		InferType: 121181us [121181us] (0.49%; 2.28%)
		InferType: 132709us [132709us] (0.54%; 2.50%)
		InferType: 133107us [133107us] (0.54%; 2.50%)
		InferType: 138935us [138935us] (0.56%; 2.61%)
		InferType: 126423us [126423us] (0.51%; 2.38%)
		InferType: 121867us [121867us] (0.49%; 2.29%)
		InferType: 124034us [124034us] (0.50%; 2.33%)
		InferType: 120988us [120988us] (0.49%; 2.28%)
		InferType: 117639us [117639us] (0.47%; 2.21%)
		InferType: 114324us [114324us] (0.46%; 2.15%)
		InferType: 116688us [116688us] (0.47%; 2.19%)
		InferType: 123638us [123638us] (0.50%; 2.33%)
		InferType: 120448us [120448us] (0.49%; 2.27%)
		InferType: 117514us [117514us] (0.47%; 2.21%)
		InferType: 68267us [68267us] (0.28%; 1.28%)
	InferType: 68073us [68073us] (0.27%; 0.29%)
	FlattenAtrousConv: 80061us [22595us] (0.32%; 0.34%)
		InferType: 57466us [57466us] (0.23%; 71.78%)
	InferType: 59201us [59201us] (0.24%; 0.25%)
	FoldConstant: 119983us [65607us] (0.48%; 0.52%)
		InferType: 54376us [54376us] (0.22%; 45.32%)
	InferType: 54932us [54932us] (0.22%; 0.24%)
	SplitArgs: 80102us [25199us] (0.32%; 0.34%)
		InferType: 54903us [54903us] (0.22%; 68.54%)
	PlanDevices: 241258us [19us] (0.97%; 1.04%)
		PlanDevicesRewrite: 85263us [25425us] (0.34%; 35.34%)
			InferType: 59838us [59838us] (0.24%; 70.18%)
		PlanDevicesCore: 155976us [155976us] (0.63%; 64.65%)
	InferType: 60147us [60147us] (0.24%; 0.26%)
	FuseOps: 190184us [66799us] (0.77%; 0.82%)
		InferType: 123386us [123386us] (0.50%; 64.88%)
InferType: 129095us [129095us] (0.52%; 0.52%)
InlineGlobals: 4056us [4056us] (0.02%; 0.02%)
InferType: 131987us [131987us] (0.53%; 0.53%)
LabelOps: 416576us [281575us] (1.68%; 1.68%)
	InferType: 135001us [135001us] (0.54%; 32.41%)
AnnotateMemoryScope: 162668us [38385us] (0.66%; 0.66%)
	InferType: 124283us [124283us] (0.50%; 76.40%)
sequential: 660402us [31us] (2.66%; 2.66%)
	RelayToTIRTargetHook: 3664us [3664us] (0.01%; 0.55%)
	InferType: 142787us [142787us] (0.58%; 21.62%)
	LowerTE: 426704us [4156us] (1.72%; 64.61%)
		LowerTensorExpr: 422548us [241808us] (1.70%; 99.03%)
			sequential: 1611us [31us] (0.01%; 0.38%)
				tir.InjectPrefetch: 14us [14us] (0.00%; 0.88%)
				tir.TextureFlatten: 20us [20us] (0.00%; 1.23%)
				tir.StorageFlatten: 303us [21us] (0.00%; 18.80%)
					tir.StorageFlatten_impl: 281us [8us] (0.00%; 92.92%)
						tir.BufferShapeLegalize: 29us [29us] (0.00%; 10.18%)
						tir.BufferStrideLegalize: 19us [19us] (0.00%; 6.91%)
						tir.ThreadScopePropagate: 10us [10us] (0.00%; 3.58%)
						tir.BufferBindUnwrapper: 17us [17us] (0.00%; 5.96%)
						tir.ApplyLayoutTransforms: 4us [4us] (0.00%; 1.32%)
						tir.StorageFlattener: 185us [185us] (0.00%; 65.72%)
						tir.AssertSimplifier: 10us [10us] (0.00%; 3.68%)
				tir.LowerCrossThreadReduction: 5us [5us] (0.00%; 0.29%)
				tir.LowerInitBlock: 5us [5us] (0.00%; 0.31%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.25%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.24%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.24%)
				tir.ManifestSharedMemoryLocalStage: 6us [6us] (0.00%; 0.38%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.24%)
				tir.LowerMatchBuffer: 14us [14us] (0.00%; 0.86%)
				tir.InjectSoftwarePipeline: 18us [18us] (0.00%; 1.14%)
				tir.LowerOpaqueBlock: 4us [4us] (0.00%; 0.26%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.25%)
				tir.BF16Legalize: 40us [4us] (0.00%; 2.51%)
					tir.BF16Promote: 8us [8us] (0.00%; 20.26%)
					tir.BF16CastElimination: 16us [16us] (0.00%; 39.28%)
					tir.BF16TypeLowering: 12us [12us] (0.00%; 30.31%)
				tir.NarrowDataType: 81us [81us] (0.00%; 5.01%)
				tir.Simplify: 169us [169us] (0.00%; 10.47%)
				tir.LoopPartition: 36us [36us] (0.00%; 2.25%)
				tir.VectorizeLoop: 18us [18us] (0.00%; 1.15%)
				tir.InjectVirtualThread: 14us [14us] (0.00%; 0.88%)
				tir.InjectDoubleBuffer: 6us [6us] (0.00%; 0.40%)
				tir.StorageRewrite: 42us [42us] (0.00%; 2.63%)
				tir.LowerVtcmAlloc: 7us [7us] (0.00%; 0.40%)
				tir.UnrollLoop: 8us [8us] (0.00%; 0.52%)
				tir.RenormalizeSplitPattern: 53us [53us] (0.00%; 3.29%)
				tir.Simplify: 84us [84us] (0.00%; 5.20%)
				tir.RemoveNoOp: 13us [13us] (0.00%; 0.78%)
				tir.RewriteUnsafeSelect: 6us [6us] (0.00%; 0.36%)
				tir.HoistIfThenElse: 125us [5us] (0.00%; 7.75%)
					tir.InsertHoistIfThenElse: 23us [23us] (0.00%; 18.68%)
					tir.Simplify: 87us [87us] (0.00%; 69.62%)
					tir.RemoveNoOp: 10us [10us] (0.00%; 8.06%)
				tir.CommonSubexprElimTIR: 468us [468us] (0.00%; 29.09%)
			tir.BindParams: 10us [10us] (0.00%; 0.00%)
			sequential: 1199us [29us] (0.00%; 0.28%)
				tir.InjectPrefetch: 12us [12us] (0.00%; 0.96%)
				tir.TextureFlatten: 23us [23us] (0.00%; 1.95%)
				tir.StorageFlatten: 268us [23us] (0.00%; 22.35%)
					tir.StorageFlatten_impl: 245us [8us] (0.00%; 91.51%)
						tir.BufferShapeLegalize: 33us [33us] (0.00%; 13.40%)
						tir.BufferStrideLegalize: 47us [47us] (0.00%; 19.28%)
						tir.ThreadScopePropagate: 17us [17us] (0.00%; 6.75%)
						tir.BufferBindUnwrapper: 20us [20us] (0.00%; 8.24%)
						tir.ApplyLayoutTransforms: 4us [4us] (0.00%; 1.54%)
						tir.StorageFlattener: 103us [103us] (0.00%; 41.85%)
						tir.AssertSimplifier: 14us [14us] (0.00%; 5.56%)
				tir.LowerCrossThreadReduction: 5us [5us] (0.00%; 0.44%)
				tir.LowerInitBlock: 5us [5us] (0.00%; 0.42%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.35%)
