sequential: 11us [11us] (0.00%; 0.00%)
sequential: 11105801us [168us] (92.76%; 92.76%)
	RemoveUnusedFunctions: 750us [750us] (0.01%; 0.01%)
	ToBasicBlockNormalForm: 14044us [14044us] (0.12%; 0.13%)
	sequential: 149546us [89us] (1.25%; 1.35%)
		InferType: 36095us [36095us] (0.30%; 24.14%)
		Legalize: 39687us [10740us] (0.33%; 26.54%)
			InferType: 28948us [28948us] (0.24%; 72.94%)
		InferType: 30244us [30244us] (0.25%; 20.22%)
		Legalize: 43431us [13801us] (0.36%; 29.04%)
			InferType: 29630us [29630us] (0.25%; 68.22%)
	InferType: 31455us [31455us] (0.26%; 0.28%)
	Legalize: 44898us [15642us] (0.38%; 0.40%)
		InferType: 29256us [29256us] (0.24%; 65.16%)
	InferType: 31181us [31181us] (0.26%; 0.28%)
	SimplifyInference: 41892us [11081us] (0.35%; 0.38%)
		InferType: 30811us [30811us] (0.26%; 73.55%)
	FoldConstant: 7723162us [7693309us] (64.51%; 69.54%)
		InferType: 29853us [29853us] (0.25%; 0.39%)
	FoldScaleAxis: 42743us [23us] (0.36%; 0.38%)
		FoldConstant: 42721us [10887us] (0.36%; 99.95%)
			InferType: 31834us [31834us] (0.27%; 74.52%)
	InferType: 31252us [31252us] (0.26%; 0.28%)
	SimplifyExpr: 2533832us [522754us] (21.16%; 22.82%)
		InferType: 56997us [56997us] (0.48%; 2.25%)
		InferType: 63020us [63020us] (0.53%; 2.49%)
		InferType: 58159us [58159us] (0.49%; 2.30%)
		InferType: 59498us [59498us] (0.50%; 2.35%)
		InferType: 57830us [57830us] (0.48%; 2.28%)
		InferType: 59716us [59716us] (0.50%; 2.36%)
		InferType: 56932us [56932us] (0.48%; 2.25%)
		InferType: 60796us [60796us] (0.51%; 2.40%)
		InferType: 55989us [55989us] (0.47%; 2.21%)
		InferType: 56084us [56084us] (0.47%; 2.21%)
		InferType: 60088us [60088us] (0.50%; 2.37%)
		InferType: 55301us [55301us] (0.46%; 2.18%)
		InferType: 61595us [61595us] (0.51%; 2.43%)
		InferType: 57000us [57000us] (0.48%; 2.25%)
		InferType: 56489us [56489us] (0.47%; 2.23%)
		InferType: 60929us [60929us] (0.51%; 2.40%)
		InferType: 55939us [55939us] (0.47%; 2.21%)
		InferType: 54235us [54235us] (0.45%; 2.14%)
		InferType: 60343us [60343us] (0.50%; 2.38%)
		InferType: 60246us [60246us] (0.50%; 2.38%)
		InferType: 57874us [57874us] (0.48%; 2.28%)
		InferType: 55051us [55051us] (0.46%; 2.17%)
		InferType: 54620us [54620us] (0.46%; 2.16%)
		InferType: 55479us [55479us] (0.46%; 2.19%)
		InferType: 55392us [55392us] (0.46%; 2.19%)
		InferType: 61077us [61077us] (0.51%; 2.41%)
		InferType: 65681us [65681us] (0.55%; 2.59%)
		InferType: 66038us [66038us] (0.55%; 2.61%)
		InferType: 60510us [60510us] (0.51%; 2.39%)
		InferType: 57970us [57970us] (0.48%; 2.29%)
		InferType: 55594us [55594us] (0.46%; 2.19%)
		InferType: 56490us [56490us] (0.47%; 2.23%)
		InferType: 55771us [55771us] (0.47%; 2.20%)
		InferType: 59015us [59015us] (0.49%; 2.33%)
		InferType: 27329us [27329us] (0.23%; 1.08%)
	InferType: 26964us [26964us] (0.23%; 0.24%)
	FlattenAtrousConv: 35871us [9303us] (0.30%; 0.32%)
		InferType: 26568us [26568us] (0.22%; 74.07%)
	InferType: 27527us [27527us] (0.23%; 0.25%)
	FoldConstant: 79771us [53680us] (0.67%; 0.72%)
		InferType: 26092us [26092us] (0.22%; 32.71%)
	InferType: 26551us [26551us] (0.22%; 0.24%)
	SplitArgs: 36783us [9301us] (0.31%; 0.33%)
		InferType: 27482us [27482us] (0.23%; 74.71%)
	PlanDevices: 111682us [15us] (0.93%; 1.01%)
		PlanDevicesRewrite: 36894us [9816us] (0.31%; 33.03%)
			InferType: 27078us [27078us] (0.23%; 73.39%)
		PlanDevicesCore: 74773us [74773us] (0.62%; 66.95%)
	InferType: 26794us [26794us] (0.22%; 0.24%)
	FuseOps: 88934us [28630us] (0.74%; 0.80%)
		InferType: 60305us [60305us] (0.50%; 67.81%)
InferType: 64776us [64776us] (0.54%; 0.54%)
InlineGlobals: 1994us [1994us] (0.02%; 0.02%)
InferType: 67170us [67170us] (0.56%; 0.56%)
LabelOps: 163389us [98192us] (1.36%; 1.36%)
	InferType: 65197us [65197us] (0.54%; 39.90%)
AnnotateMemoryScope: 84109us [17951us] (0.70%; 0.70%)
	InferType: 66158us [66158us] (0.55%; 78.66%)
sequential: 454188us [30us] (3.79%; 3.79%)
	RelayToTIRTargetHook: 2092us [2092us] (0.02%; 0.46%)
	InferType: 69583us [69583us] (0.58%; 15.32%)
	LowerTE: 350987us [2693us] (2.93%; 77.28%)
		LowerTensorExpr: 348295us [217775us] (2.91%; 99.23%)
			sequential: 1822us [26us] (0.02%; 0.52%)
				tir.InjectPrefetch: 13us [13us] (0.00%; 0.73%)
				tir.TextureFlatten: 19us [19us] (0.00%; 1.06%)
				tir.StorageFlatten: 335us [21us] (0.00%; 18.40%)
					tir.StorageFlatten_impl: 314us [7us] (0.00%; 93.69%)
						tir.BufferShapeLegalize: 29us [29us] (0.00%; 9.36%)
						tir.BufferStrideLegalize: 20us [20us] (0.00%; 6.51%)
						tir.ThreadScopePropagate: 10us [10us] (0.00%; 3.31%)
						tir.BufferBindUnwrapper: 17us [17us] (0.00%; 5.43%)
						tir.ApplyLayoutTransforms: 3us [3us] (0.00%; 1.06%)
						tir.StorageFlattener: 186us [186us] (0.00%; 59.22%)
						tir.AssertSimplifier: 40us [40us] (0.00%; 12.74%)
				tir.LowerCrossThreadReduction: 18us [18us] (0.00%; 0.97%)
				tir.LowerInitBlock: 13us [13us] (0.00%; 0.72%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.24%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.22%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.22%)
				tir.ManifestSharedMemoryLocalStage: 8us [8us] (0.00%; 0.43%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.22%)
				tir.LowerMatchBuffer: 21us [21us] (0.00%; 1.17%)
				tir.InjectSoftwarePipeline: 20us [20us] (0.00%; 1.07%)
				tir.LowerOpaqueBlock: 4us [4us] (0.00%; 0.24%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.21%)
				tir.BF16Legalize: 91us [34us] (0.00%; 4.98%)
					tir.BF16Promote: 38us [38us] (0.00%; 41.83%)
					tir.BF16CastElimination: 7us [7us] (0.00%; 7.22%)
					tir.BF16TypeLowering: 12us [12us] (0.00%; 13.07%)
				tir.NarrowDataType: 98us [98us] (0.00%; 5.38%)
				tir.Simplify: 157us [157us] (0.00%; 8.63%)
				tir.LoopPartition: 18us [18us] (0.00%; 1.01%)
				tir.VectorizeLoop: 19us [19us] (0.00%; 1.03%)
				tir.InjectVirtualThread: 15us [15us] (0.00%; 0.81%)
				tir.InjectDoubleBuffer: 6us [6us] (0.00%; 0.33%)
				tir.StorageRewrite: 43us [43us] (0.00%; 2.39%)
				tir.LowerVtcmAlloc: 6us [6us] (0.00%; 0.34%)
				tir.UnrollLoop: 8us [8us] (0.00%; 0.45%)
				tir.RenormalizeSplitPattern: 56us [56us] (0.00%; 3.06%)
				tir.Simplify: 87us [87us] (0.00%; 4.80%)
				tir.RemoveNoOp: 13us [13us] (0.00%; 0.72%)
				tir.RewriteUnsafeSelect: 6us [6us] (0.00%; 0.32%)
				tir.HoistIfThenElse: 126us [4us] (0.00%; 6.91%)
					tir.InsertHoistIfThenElse: 23us [23us] (0.00%; 18.18%)
					tir.Simplify: 88us [88us] (0.00%; 69.55%)
					tir.RemoveNoOp: 11us [11us] (0.00%; 8.82%)
				tir.CommonSubexprElimTIR: 574us [574us] (0.00%; 31.50%)
			tir.BindParams: 11us [11us] (0.00%; 0.00%)
			sequential: 1083us [37us] (0.01%; 0.31%)
				tir.InjectPrefetch: 10us [10us] (0.00%; 0.93%)
				tir.TextureFlatten: 23us [23us] (0.00%; 2.15%)
				tir.StorageFlatten: 215us [20us] (0.00%; 19.89%)
					tir.StorageFlatten_impl: 196us [7us] (0.00%; 90.88%)
						tir.BufferShapeLegalize: 33us [33us] (0.00%; 17.09%)
						tir.BufferStrideLegalize: 22us [22us] (0.00%; 11.14%)
						tir.ThreadScopePropagate: 16us [16us] (0.00%; 7.98%)
						tir.BufferBindUnwrapper: 20us [20us] (0.00%; 10.02%)
						tir.ApplyLayoutTransforms: 3us [3us] (0.00%; 1.79%)
						tir.StorageFlattener: 84us [84us] (0.00%; 42.79%)
						tir.AssertSimplifier: 11us [11us] (0.00%; 5.55%)
				tir.LowerCrossThreadReduction: 4us [4us] (0.00%; 0.41%)
				tir.LowerInitBlock: 7us [7us] (0.00%; 0.67%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.36%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.34%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.34%)
				tir.ManifestSharedMemoryLocalStage: 6us [6us] (0.00%; 0.58%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.36%)
				tir.LowerMatchBuffer: 12us [12us] (0.00%; 1.10%)
				tir.InjectSoftwarePipeline: 15us [15us] (0.00%; 1.42%)
				tir.LowerOpaqueBlock: 4us [4us] (0.00%; 0.35%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.33%)
				tir.BF16Legalize: 25us [4us] (0.00%; 2.35%)
					tir.BF16Promote: 6us [6us] (0.00%; 25.28%)
					tir.BF16CastElimination: 6us [6us] (0.00%; 22.54%)
					tir.BF16TypeLowering: 9us [9us] (0.00%; 35.83%)
				tir.NarrowDataType: 42us [42us] (0.00%; 3.84%)
				tir.Simplify: 98us [98us] (0.00%; 9.09%)
				tir.LoopPartition: 16us [16us] (0.00%; 1.48%)
				tir.VectorizeLoop: 4us [4us] (0.00%; 0.38%)
				tir.InjectVirtualThread: 15us [15us] (0.00%; 1.38%)
				tir.InjectDoubleBuffer: 6us [6us] (0.00%; 0.54%)
				tir.StorageRewrite: 55us [55us] (0.00%; 5.09%)
				tir.LowerVtcmAlloc: 6us [6us] (0.00%; 0.57%)
				tir.UnrollLoop: 9us [9us] (0.00%; 0.83%)
				tir.RenormalizeSplitPattern: 76us [76us] (0.00%; 6.99%)
				tir.Simplify: 80us [80us] (0.00%; 7.42%)
				tir.RemoveNoOp: 16us [16us] (0.00%; 1.52%)
				tir.RewriteUnsafeSelect: 5us [5us] (0.00%; 0.47%)
				tir.HoistIfThenElse: 125us [4us] (0.00%; 11.50%)
					tir.InsertHoistIfThenElse: 25us [25us] (0.00%; 20.37%)
					tir.Simplify: 80us [80us] (0.00%; 64.55%)
					tir.RemoveNoOp: 14us [14us] (0.00%; 11.64%)
				tir.CommonSubexprElimTIR: 151us [151us] (0.00%; 13.94%)
			tir.BindParams: 6us [6us] (0.00%; 0.00%)
