sequential: 33391us [209us] (0.17%; 0.17%)
	FoldConstant: 33182us [8467us] (0.17%; 99.37%)
		InferType: 24715us [24715us] (0.13%; 74.48%)
sequential: 18000849us [124us] (92.21%; 92.21%)
	RemoveUnusedFunctions: 326us [326us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 4964us [4964us] (0.03%; 0.03%)
	sequential: 92116us [42us] (0.47%; 0.51%)
		InferType: 24363us [24363us] (0.12%; 26.45%)
		Legalize: 24127us [5757us] (0.12%; 26.19%)
			InferType: 18370us [18370us] (0.09%; 76.14%)
		InferType: 22465us [22465us] (0.12%; 24.39%)
		Legalize: 21119us [4175us] (0.11%; 22.93%)
			InferType: 16943us [16943us] (0.09%; 80.23%)
	InferType: 18168us [18168us] (0.09%; 0.10%)
	Legalize: 26674us [9314us] (0.14%; 0.15%)
		InferType: 17359us [17359us] (0.09%; 65.08%)
	InferType: 18244us [18244us] (0.09%; 0.10%)
	SimplifyInference: 41416us [10784us] (0.21%; 0.23%)
		InferType: 30632us [30632us] (0.16%; 73.96%)
	FoldConstant: 16936232us [16921959us] (86.75%; 94.09%)
		InferType: 14274us [14274us] (0.07%; 0.08%)
	FoldScaleAxis: 17795us [21us] (0.09%; 0.10%)
		FoldConstant: 17774us [3242us] (0.09%; 99.88%)
			InferType: 14532us [14532us] (0.07%; 81.76%)
	InferType: 16296us [16296us] (0.08%; 0.09%)
	SimplifyExpr: 634710us [98074us] (3.25%; 3.53%)
		InferType: 33001us [33001us] (0.17%; 5.20%)
		InferType: 32293us [32293us] (0.17%; 5.09%)
		InferType: 31774us [31774us] (0.16%; 5.01%)
		InferType: 34806us [34806us] (0.18%; 5.48%)
		InferType: 31334us [31334us] (0.16%; 4.94%)
		InferType: 29444us [29444us] (0.15%; 4.64%)
		InferType: 28619us [28619us] (0.15%; 4.51%)
		InferType: 29379us [29379us] (0.15%; 4.63%)
		InferType: 29795us [29795us] (0.15%; 4.69%)
		InferType: 28527us [28527us] (0.15%; 4.49%)
		InferType: 29841us [29841us] (0.15%; 4.70%)
		InferType: 31064us [31064us] (0.16%; 4.89%)
		InferType: 33556us [33556us] (0.17%; 5.29%)
		InferType: 29393us [29393us] (0.15%; 4.63%)
		InferType: 31104us [31104us] (0.16%; 4.90%)
		InferType: 29292us [29292us] (0.15%; 4.62%)
		InferType: 28988us [28988us] (0.15%; 4.57%)
		InferType: 14425us [14425us] (0.07%; 2.27%)
	InferType: 16051us [16051us] (0.08%; 0.09%)
	FlattenAtrousConv: 20594us [4901us] (0.11%; 0.11%)
		InferType: 15694us [15694us] (0.08%; 76.20%)
	InferType: 14642us [14642us] (0.07%; 0.08%)
	FoldConstant: 17845us [3029us] (0.09%; 0.10%)
		InferType: 14816us [14816us] (0.08%; 83.03%)
	InferType: 14797us [14797us] (0.08%; 0.08%)
	SplitArgs: 19931us [4371us] (0.10%; 0.11%)
		InferType: 15559us [15559us] (0.08%; 78.07%)
	PlanDevices: 40820us [14us] (0.21%; 0.23%)
		PlanDevicesRewrite: 17568us [3141us] (0.09%; 43.04%)
			InferType: 14427us [14427us] (0.07%; 82.12%)
		PlanDevicesCore: 23238us [23238us] (0.12%; 56.93%)
	InferType: 15422us [15422us] (0.08%; 0.09%)
	FuseOps: 33681us [8588us] (0.17%; 0.19%)
		InferType: 25094us [25094us] (0.13%; 74.50%)
InferType: 23057us [23057us] (0.12%; 0.12%)
InlineGlobals: 1868us [1868us] (0.01%; 0.01%)
InferType: 22734us [22734us] (0.12%; 0.12%)
LabelOps: 51993us [29011us] (0.27%; 0.27%)
