sequential: 23516us [13us] (0.13%; 0.13%)
	FoldConstant: 23503us [4560us] (0.13%; 99.94%)
		InferType: 18943us [18943us] (0.10%; 80.60%)
sequential: 17161455us [140us] (92.13%; 92.13%)
	RemoveUnusedFunctions: 269us [269us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 4964us [4964us] (0.03%; 0.03%)
	sequential: 73716us [41us] (0.40%; 0.43%)
		InferType: 16625us [16625us] (0.09%; 22.55%)
		Legalize: 19980us [3502us] (0.11%; 27.10%)
			InferType: 16478us [16478us] (0.09%; 82.47%)
		InferType: 17454us [17454us] (0.09%; 23.68%)
		Legalize: 19615us [3520us] (0.11%; 26.61%)
			InferType: 16095us [16095us] (0.09%; 82.05%)
	InferType: 17379us [17379us] (0.09%; 0.10%)
	Legalize: 24757us [8616us] (0.13%; 0.14%)
		InferType: 16141us [16141us] (0.09%; 65.20%)
	InferType: 18845us [18845us] (0.10%; 0.11%)
	SimplifyInference: 46839us [9763us] (0.25%; 0.27%)
		InferType: 37076us [37076us] (0.20%; 79.16%)
	FoldConstant: 16115744us [16100658us] (86.51%; 93.91%)
		InferType: 15086us [15086us] (0.08%; 0.09%)
	FoldScaleAxis: 18036us [20us] (0.10%; 0.11%)
		FoldConstant: 18016us [3374us] (0.10%; 99.89%)
			InferType: 14642us [14642us] (0.08%; 81.27%)
	InferType: 14865us [14865us] (0.08%; 0.09%)
	SimplifyExpr: 632380us [89089us] (3.39%; 3.68%)
		InferType: 33780us [33780us] (0.18%; 5.34%)
		InferType: 31331us [31331us] (0.17%; 4.95%)
		InferType: 31915us [31915us] (0.17%; 5.05%)
		InferType: 30779us [30779us] (0.17%; 4.87%)
		InferType: 29984us [29984us] (0.16%; 4.74%)
		InferType: 30866us [30866us] (0.17%; 4.88%)
		InferType: 30070us [30070us] (0.16%; 4.76%)
		InferType: 30803us [30803us] (0.17%; 4.87%)
		InferType: 29978us [29978us] (0.16%; 4.74%)
		InferType: 30928us [30928us] (0.17%; 4.89%)
		InferType: 30696us [30696us] (0.16%; 4.85%)
		InferType: 30927us [30927us] (0.17%; 4.89%)
		InferType: 30644us [30644us] (0.16%; 4.85%)
		InferType: 31097us [31097us] (0.17%; 4.92%)
		InferType: 33451us [33451us] (0.18%; 5.29%)
		InferType: 31359us [31359us] (0.17%; 4.96%)
		InferType: 29481us [29481us] (0.16%; 4.66%)
		InferType: 15201us [15201us] (0.08%; 2.40%)
	InferType: 16775us [16775us] (0.09%; 0.10%)
	FlattenAtrousConv: 19803us [3319us] (0.11%; 0.12%)
		InferType: 16484us [16484us] (0.09%; 83.24%)
	InferType: 17027us [17027us] (0.09%; 0.10%)
	FoldConstant: 19352us [3475us] (0.10%; 0.11%)
		InferType: 15877us [15877us] (0.09%; 82.04%)
	InferType: 15143us [15143us] (0.08%; 0.09%)
	SplitArgs: 17727us [2993us] (0.10%; 0.10%)
