sequential: 5723us [11us] (0.14%; 0.14%)
	FoldConstant: 5712us [1186us] (0.14%; 99.80%)
		InferType: 4526us [4526us] (0.11%; 79.24%)
sequential: 3491895us [84us] (83.09%; 83.09%)
	RemoveUnusedFunctions: 73us [73us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 1090us [1090us] (0.03%; 0.03%)
	sequential: 18322us [38us] (0.44%; 0.52%)
		InferType: 3883us [3883us] (0.09%; 21.19%)
		Legalize: 5037us [894us] (0.12%; 27.49%)
			InferType: 4143us [4143us] (0.10%; 82.25%)
		InferType: 4122us [4122us] (0.10%; 22.50%)
		Legalize: 5242us [985us] (0.12%; 28.61%)
			InferType: 4258us [4258us] (0.10%; 81.21%)
	InferType: 4357us [4357us] (0.10%; 0.12%)
	Legalize: 5784us [2072us] (0.14%; 0.17%)
		InferType: 3713us [3713us] (0.09%; 64.19%)
	InferType: 3887us [3887us] (0.09%; 0.11%)
	SimplifyInference: 10031us [2267us] (0.24%; 0.29%)
		InferType: 7764us [7764us] (0.18%; 77.40%)
	FoldConstant: 3250769us [3247300us] (77.36%; 93.09%)
		InferType: 3469us [3469us] (0.08%; 0.11%)
	FoldScaleAxis: 4394us [10us] (0.10%; 0.13%)
		FoldConstant: 4384us [780us] (0.10%; 99.77%)
			InferType: 3604us [3604us] (0.09%; 82.20%)
	InferType: 3437us [3437us] (0.08%; 0.10%)
	SimplifyExpr: 144702us [22295us] (3.44%; 4.14%)
		InferType: 6574us [6574us] (0.16%; 4.54%)
		InferType: 6881us [6881us] (0.16%; 4.76%)
		InferType: 7222us [7222us] (0.17%; 4.99%)
		InferType: 6682us [6682us] (0.16%; 4.62%)
		InferType: 6572us [6572us] (0.16%; 4.54%)
		InferType: 6708us [6708us] (0.16%; 4.64%)
		InferType: 6944us [6944us] (0.17%; 4.80%)
		InferType: 7090us [7090us] (0.17%; 4.90%)
		InferType: 7074us [7074us] (0.17%; 4.89%)
		InferType: 7225us [7225us] (0.17%; 4.99%)
		InferType: 7395us [7395us] (0.18%; 5.11%)
		InferType: 7550us [7550us] (0.18%; 5.22%)
		InferType: 8409us [8409us] (0.20%; 5.81%)
		InferType: 6684us [6684us] (0.16%; 4.62%)
		InferType: 6491us [6491us] (0.15%; 4.49%)
		InferType: 6647us [6647us] (0.16%; 4.59%)
		InferType: 6993us [6993us] (0.17%; 4.83%)
		InferType: 3266us [3266us] (0.08%; 2.26%)
	InferType: 3778us [3778us] (0.09%; 0.11%)
	FlattenAtrousConv: 4014us [735us] (0.10%; 0.11%)
		InferType: 3280us [3280us] (0.08%; 81.70%)
	InferType: 3307us [3307us] (0.08%; 0.09%)
