sequential: 24829us [13us] (0.14%; 0.14%)
	FoldConstant: 24816us [4882us] (0.14%; 99.95%)
		InferType: 19935us [19935us] (0.11%; 80.33%)
sequential: 16778648us [138us] (92.01%; 92.01%)
	RemoveUnusedFunctions: 238us [238us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 4270us [4270us] (0.02%; 0.03%)
	sequential: 78092us [41us] (0.43%; 0.47%)
		InferType: 16019us [16019us] (0.09%; 20.51%)
		Legalize: 20385us [3392us] (0.11%; 26.10%)
			InferType: 16993us [16993us] (0.09%; 83.36%)
		InferType: 18945us [18945us] (0.10%; 24.26%)
		Legalize: 22702us [5498us] (0.12%; 29.07%)
			InferType: 17204us [17204us] (0.09%; 75.78%)
	InferType: 17953us [17953us] (0.10%; 0.11%)
	Legalize: 25254us [8755us] (0.14%; 0.15%)
		InferType: 16499us [16499us] (0.09%; 65.33%)
	InferType: 16931us [16931us] (0.09%; 0.10%)
	SimplifyInference: 40916us [8322us] (0.22%; 0.24%)
		InferType: 32593us [32593us] (0.18%; 79.66%)
	FoldConstant: 15735082us [15719109us] (86.29%; 93.78%)
		InferType: 15973us [15973us] (0.09%; 0.10%)
	FoldScaleAxis: 18352us [18us] (0.10%; 0.11%)
		FoldConstant: 18334us [3162us] (0.10%; 99.90%)
			InferType: 15173us [15173us] (0.08%; 82.76%)
	InferType: 21266us [21266us] (0.12%; 0.13%)
	SimplifyExpr: 637996us [90937us] (3.50%; 3.80%)
		InferType: 35484us [35484us] (0.19%; 5.56%)
		InferType: 31928us [31928us] (0.18%; 5.00%)
		InferType: 35721us [35721us] (0.20%; 5.60%)
		InferType: 30796us [30796us] (0.17%; 4.83%)
		InferType: 28310us [28310us] (0.16%; 4.44%)
		InferType: 29697us [29697us] (0.16%; 4.65%)
		InferType: 30741us [30741us] (0.17%; 4.82%)
		InferType: 32201us [32201us] (0.18%; 5.05%)
		InferType: 30120us [30120us] (0.17%; 4.72%)
		InferType: 32995us [32995us] (0.18%; 5.17%)
		InferType: 31539us [31539us] (0.17%; 4.94%)
		InferType: 30145us [30145us] (0.17%; 4.72%)
		InferType: 29679us [29679us] (0.16%; 4.65%)
		InferType: 30383us [30383us] (0.17%; 4.76%)
		InferType: 29406us [29406us] (0.16%; 4.61%)
		InferType: 29603us [29603us] (0.16%; 4.64%)
		InferType: 33220us [33220us] (0.18%; 5.21%)
		InferType: 15090us [15090us] (0.08%; 2.37%)
	InferType: 15222us [15222us] (0.08%; 0.09%)
	FlattenAtrousConv: 17320us [2900us] (0.09%; 0.10%)
		InferType: 14420us [14420us] (0.08%; 83.26%)
	InferType: 15471us [15471us] (0.08%; 0.09%)
	FoldConstant: 17371us [3056us] (0.10%; 0.10%)
		InferType: 14316us [14316us] (0.08%; 82.41%)
	InferType: 14410us [14410us] (0.08%; 0.09%)
	SplitArgs: 17387us [3027us] (0.10%; 0.10%)
		InferType: 14359us [14359us] (0.08%; 82.59%)
	PlanDevices: 39421us [17us] (0.22%; 0.23%)
		PlanDevicesRewrite: 18510us [3323us] (0.10%; 46.95%)
			InferType: 15187us [15187us] (0.08%; 82.05%)
		PlanDevicesCore: 20894us [20894us] (0.11%; 53.00%)
	InferType: 16106us [16106us] (0.09%; 0.10%)
	FuseOps: 29452us [7252us] (0.16%; 0.18%)
		InferType: 22200us [22200us] (0.12%; 75.38%)
InferType: 23384us [23384us] (0.13%; 0.13%)
InlineGlobals: 538us [538us] (0.00%; 0.00%)
InferType: 25175us [25175us] (0.14%; 0.14%)
LabelOps: 47782us [25451us] (0.26%; 0.26%)
	InferType: 22331us [22331us] (0.12%; 46.73%)
AnnotateMemoryScope: 29645us [4651us] (0.16%; 0.16%)
	InferType: 24994us [24994us] (0.14%; 84.31%)
sequential: 1210560us [26us] (6.64%; 6.64%)
	RelayToTIRTargetHook: 488us [488us] (0.00%; 0.04%)
	InferType: 22594us [22594us] (0.12%; 1.87%)
	LowerTE: 1180980us [3047us] (6.48%; 97.56%)
		LowerTensorExpr: 1177932us [592241us] (6.46%; 99.74%)
			sequential: 20053us [24us] (0.11%; 1.70%)
				tir.InjectPrefetch: 28us [28us] (0.00%; 0.14%)
				tir.TextureFlatten: 291us [291us] (0.00%; 1.45%)
				tir.StorageFlatten: 2542us [26us] (0.01%; 12.68%)
					tir.StorageFlatten_impl: 2516us [10us] (0.01%; 98.97%)
						tir.BufferShapeLegalize: 312us [312us] (0.00%; 12.41%)
						tir.BufferStrideLegalize: 343us [343us] (0.00%; 13.63%)
						tir.ThreadScopePropagate: 88us [88us] (0.00%; 3.50%)
						tir.BufferBindUnwrapper: 270us [270us] (0.00%; 10.75%)
						tir.ApplyLayoutTransforms: 5us [5us] (0.00%; 0.18%)
						tir.StorageFlattener: 1261us [1261us] (0.01%; 50.13%)
						tir.AssertSimplifier: 226us [226us] (0.00%; 9.00%)
				tir.LowerCrossThreadReduction: 6us [6us] (0.00%; 0.03%)
				tir.LowerInitBlock: 6us [6us] (0.00%; 0.03%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.02%)
				tir.ConvertBlocksToOpaque: 5us [5us] (0.00%; 0.02%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.02%)
				tir.ManifestSharedMemoryLocalStage: 11us [11us] (0.00%; 0.06%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.02%)
				tir.LowerMatchBuffer: 67us [67us] (0.00%; 0.33%)
				tir.InjectSoftwarePipeline: 87us [87us] (0.00%; 0.43%)
				tir.LowerOpaqueBlock: 4us [4us] (0.00%; 0.02%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.02%)
				tir.BF16Legalize: 104us [5us] (0.00%; 0.52%)
					tir.BF16Promote: 35us [35us] (0.00%; 33.80%)
					tir.BF16CastElimination: 27us [27us] (0.00%; 25.91%)
					tir.BF16TypeLowering: 37us [37us] (0.00%; 35.67%)
				tir.NarrowDataType: 386us [386us] (0.00%; 1.92%)
				tir.Simplify: 1465us [1465us] (0.01%; 7.30%)
				tir.LoopPartition: 68us [68us] (0.00%; 0.34%)
				tir.VectorizeLoop: 67us [67us] (0.00%; 0.33%)
				tir.InjectVirtualThread: 236us [236us] (0.00%; 1.18%)
				tir.InjectDoubleBuffer: 12us [12us] (0.00%; 0.06%)
				tir.StorageRewrite: 217us [217us] (0.00%; 1.08%)
				tir.LowerVtcmAlloc: 23us [23us] (0.00%; 0.12%)
				tir.UnrollLoop: 174us [174us] (0.00%; 0.87%)
				tir.RenormalizeSplitPattern: 696us [696us] (0.00%; 3.47%)
				tir.Simplify: 1558us [1558us] (0.01%; 7.77%)
				tir.RemoveNoOp: 68us [68us] (0.00%; 0.34%)
				tir.RewriteUnsafeSelect: 44us [44us] (0.00%; 0.22%)
				tir.HoistIfThenElse: 1674us [6us] (0.01%; 8.35%)
					tir.InsertHoistIfThenElse: 322us [322us] (0.00%; 19.26%)
					tir.Simplify: 1285us [1285us] (0.01%; 76.77%)
					tir.RemoveNoOp: 61us [61us] (0.00%; 3.62%)
				tir.CommonSubexprElimTIR: 10173us [10173us] (0.06%; 50.73%)
			tir.BindParams: 22us [22us] (0.00%; 0.00%)
			sequential: 6513us [30us] (0.04%; 0.55%)
				tir.InjectPrefetch: 11us [11us] (0.00%; 0.18%)
				tir.TextureFlatten: 175us [175us] (0.00%; 2.69%)
				tir.StorageFlatten: 959us [22us] (0.01%; 14.72%)
					tir.StorageFlatten_impl: 937us [8us] (0.01%; 97.70%)
						tir.BufferShapeLegalize: 161us [161us] (0.00%; 17.18%)
						tir.BufferStrideLegalize: 151us [151us] (0.00%; 16.07%)
						tir.ThreadScopePropagate: 14us [14us] (0.00%; 1.50%)
						tir.BufferBindUnwrapper: 147us [147us] (0.00%; 15.70%)
						tir.ApplyLayoutTransforms: 4us [4us] (0.00%; 0.45%)
						tir.StorageFlattener: 306us [306us] (0.00%; 32.69%)
						tir.AssertSimplifier: 146us [146us] (0.00%; 15.54%)
				tir.LowerCrossThreadReduction: 5us [5us] (0.00%; 0.08%)
				tir.LowerInitBlock: 5us [5us] (0.00%; 0.08%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.06%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.06%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.06%)
				tir.ManifestSharedMemoryLocalStage: 7us [7us] (0.00%; 0.11%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.06%)
				tir.LowerMatchBuffer: 21us [21us] (0.00%; 0.32%)
				tir.InjectSoftwarePipeline: 27us [27us] (0.00%; 0.42%)
				tir.LowerOpaqueBlock: 4us [4us] (0.00%; 0.06%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.07%)
				tir.BF16Legalize: 41us [4us] (0.00%; 0.64%)
					tir.BF16Promote: 14us [14us] (0.00%; 33.14%)
					tir.BF16CastElimination: 10us [10us] (0.00%; 23.72%)
					tir.BF16TypeLowering: 14us [14us] (0.00%; 32.81%)
				tir.NarrowDataType: 108us [108us] (0.00%; 1.67%)
				tir.Simplify: 648us [648us] (0.00%; 9.95%)
				tir.LoopPartition: 26us [26us] (0.00%; 0.40%)
