sequential: 9us [9us] (0.00%; 0.00%)
sequential: 11301429us [145us] (92.76%; 92.76%)
	RemoveUnusedFunctions: 868us [868us] (0.01%; 0.01%)
	ToBasicBlockNormalForm: 13034us [13034us] (0.11%; 0.12%)
	sequential: 146816us [43us] (1.21%; 1.30%)
		InferType: 31271us [31271us] (0.26%; 21.30%)
		Legalize: 42506us [10821us] (0.35%; 28.95%)
			InferType: 31685us [31685us] (0.26%; 74.54%)
		InferType: 31100us [31100us] (0.26%; 21.18%)
		Legalize: 41896us [11308us] (0.34%; 28.54%)
			InferType: 30587us [30587us] (0.25%; 73.01%)
	InferType: 33784us [33784us] (0.28%; 0.30%)
	Legalize: 48391us [17867us] (0.40%; 0.43%)
		InferType: 30524us [30524us] (0.25%; 63.08%)
	InferType: 31654us [31654us] (0.26%; 0.28%)
	SimplifyInference: 49423us [12016us] (0.41%; 0.44%)
		InferType: 37408us [37408us] (0.31%; 75.69%)
	FoldConstant: 7811755us [7779744us] (64.12%; 69.12%)
		InferType: 32012us [32012us] (0.26%; 0.41%)
	FoldScaleAxis: 44132us [17us] (0.36%; 0.39%)
		FoldConstant: 44115us [10311us] (0.36%; 99.96%)
			InferType: 33804us [33804us] (0.28%; 76.63%)
	InferType: 34009us [34009us] (0.28%; 0.30%)
	SimplifyExpr: 2617880us [529944us] (21.49%; 23.16%)
		InferType: 58121us [58121us] (0.48%; 2.22%)
		InferType: 64122us [64122us] (0.53%; 2.45%)
		InferType: 61051us [61051us] (0.50%; 2.33%)
		InferType: 60212us [60212us] (0.49%; 2.30%)
		InferType: 59114us [59114us] (0.49%; 2.26%)
		InferType: 61560us [61560us] (0.51%; 2.35%)
		InferType: 65208us [65208us] (0.54%; 2.49%)
		InferType: 64869us [64869us] (0.53%; 2.48%)
		InferType: 61381us [61381us] (0.50%; 2.34%)
		InferType: 59134us [59134us] (0.49%; 2.26%)
		InferType: 55904us [55904us] (0.46%; 2.14%)
		InferType: 63340us [63340us] (0.52%; 2.42%)
		InferType: 65568us [65568us] (0.54%; 2.50%)
		InferType: 60537us [60537us] (0.50%; 2.31%)
		InferType: 63345us [63345us] (0.52%; 2.42%)
		InferType: 60737us [60737us] (0.50%; 2.32%)
		InferType: 58329us [58329us] (0.48%; 2.23%)
		InferType: 60038us [60038us] (0.49%; 2.29%)
		InferType: 57553us [57553us] (0.47%; 2.20%)
		InferType: 61670us [61670us] (0.51%; 2.36%)
		InferType: 56912us [56912us] (0.47%; 2.17%)
		InferType: 56458us [56458us] (0.46%; 2.16%)
		InferType: 56239us [56239us] (0.46%; 2.15%)
		InferType: 59188us [59188us] (0.49%; 2.26%)
		InferType: 59606us [59606us] (0.49%; 2.28%)
		InferType: 61276us [61276us] (0.50%; 2.34%)
		InferType: 57052us [57052us] (0.47%; 2.18%)
		InferType: 62436us [62436us] (0.51%; 2.38%)
		InferType: 55131us [55131us] (0.45%; 2.11%)
		InferType: 53903us [53903us] (0.44%; 2.06%)
		InferType: 64474us [64474us] (0.53%; 2.46%)
		InferType: 67379us [67379us] (0.55%; 2.57%)
		InferType: 65076us [65076us] (0.53%; 2.49%)
		InferType: 57411us [57411us] (0.47%; 2.19%)
		InferType: 33600us [33600us] (0.28%; 1.28%)
	InferType: 28916us [28916us] (0.24%; 0.26%)
	FlattenAtrousConv: 39907us [9557us] (0.33%; 0.35%)
		InferType: 30350us [30350us] (0.25%; 76.05%)
	InferType: 31758us [31758us] (0.26%; 0.28%)
	FoldConstant: 82652us [56685us] (0.68%; 0.73%)
		InferType: 25967us [25967us] (0.21%; 31.42%)
	InferType: 26919us [26919us] (0.22%; 0.24%)
	SplitArgs: 35271us [8970us] (0.29%; 0.31%)
		InferType: 26302us [26302us] (0.22%; 74.57%)
	PlanDevices: 111872us [13us] (0.92%; 0.99%)
		PlanDevicesRewrite: 36590us [9723us] (0.30%; 32.71%)
			InferType: 26868us [26868us] (0.22%; 73.43%)
		PlanDevicesCore: 75268us [75268us] (0.62%; 67.28%)
	InferType: 29084us [29084us] (0.24%; 0.26%)
	FuseOps: 83159us [26485us] (0.68%; 0.74%)
		InferType: 56674us [56674us] (0.47%; 68.15%)
InferType: 63485us [63485us] (0.52%; 0.52%)
InlineGlobals: 1823us [1823us] (0.01%; 0.01%)
InferType: 57170us [57170us] (0.47%; 0.47%)
LabelOps: 176929us [116474us] (1.45%; 1.45%)
	InferType: 60455us [60455us] (0.50%; 34.17%)
AnnotateMemoryScope: 84264us [17490us] (0.69%; 0.69%)
	InferType: 66774us [66774us] (0.55%; 79.24%)
sequential: 465554us [32us] (3.82%; 3.82%)
	RelayToTIRTargetHook: 1925us [1925us] (0.02%; 0.41%)
	InferType: 64633us [64633us] (0.53%; 13.88%)
	LowerTE: 362950us [2225us] (2.98%; 77.96%)
		LowerTensorExpr: 360725us [227271us] (2.96%; 99.39%)
			sequential: 1561us [23us] (0.01%; 0.43%)
				tir.InjectPrefetch: 13us [13us] (0.00%; 0.86%)
				tir.TextureFlatten: 20us [20us] (0.00%; 1.30%)
				tir.StorageFlatten: 270us [22us] (0.00%; 17.32%)
					tir.StorageFlatten_impl: 249us [7us] (0.00%; 92.02%)
						tir.BufferShapeLegalize: 35us [35us] (0.00%; 14.21%)
						tir.BufferStrideLegalize: 21us [21us] (0.00%; 8.31%)
						tir.ThreadScopePropagate: 11us [11us] (0.00%; 4.34%)
						tir.BufferBindUnwrapper: 18us [18us] (0.00%; 7.39%)
						tir.ApplyLayoutTransforms: 4us [4us] (0.00%; 1.53%)
						tir.StorageFlattener: 142us [142us] (0.00%; 56.98%)
						tir.AssertSimplifier: 11us [11us] (0.00%; 4.26%)
				tir.LowerCrossThreadReduction: 5us [5us] (0.00%; 0.30%)
				tir.LowerInitBlock: 5us [5us] (0.00%; 0.32%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.26%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.23%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.24%)
				tir.ManifestSharedMemoryLocalStage: 6us [6us] (0.00%; 0.37%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.25%)
				tir.LowerMatchBuffer: 14us [14us] (0.00%; 0.87%)
				tir.InjectSoftwarePipeline: 17us [17us] (0.00%; 1.12%)
				tir.LowerOpaqueBlock: 4us [4us] (0.00%; 0.25%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.25%)
				tir.BF16Legalize: 30us [4us] (0.00%; 1.94%)
					tir.BF16Promote: 8us [8us] (0.00%; 26.59%)
					tir.BF16CastElimination: 6us [6us] (0.00%; 21.07%)
					tir.BF16TypeLowering: 12us [12us] (0.00%; 38.57%)
				tir.NarrowDataType: 71us [71us] (0.00%; 4.54%)
				tir.Simplify: 145us [145us] (0.00%; 9.27%)
				tir.LoopPartition: 18us [18us] (0.00%; 1.17%)
				tir.VectorizeLoop: 19us [19us] (0.00%; 1.23%)
				tir.InjectVirtualThread: 15us [15us] (0.00%; 0.93%)
				tir.InjectDoubleBuffer: 6us [6us] (0.00%; 0.40%)
				tir.StorageRewrite: 44us [44us] (0.00%; 2.83%)
				tir.LowerVtcmAlloc: 6us [6us] (0.00%; 0.40%)
				tir.UnrollLoop: 8us [8us] (0.00%; 0.54%)
				tir.RenormalizeSplitPattern: 57us [57us] (0.00%; 3.68%)
				tir.Simplify: 91us [91us] (0.00%; 5.81%)
				tir.RemoveNoOp: 13us [13us] (0.00%; 0.83%)
				tir.RewriteUnsafeSelect: 6us [6us] (0.00%; 0.38%)
				tir.HoistIfThenElse: 127us [4us] (0.00%; 8.15%)
					tir.InsertHoistIfThenElse: 23us [23us] (0.00%; 18.06%)
					tir.Simplify: 89us [89us] (0.00%; 70.08%)
					tir.RemoveNoOp: 11us [11us] (0.00%; 8.33%)
				tir.CommonSubexprElimTIR: 507us [507us] (0.00%; 32.50%)
			tir.BindParams: 12us [12us] (0.00%; 0.00%)
			sequential: 1152us [26us] (0.01%; 0.32%)
				tir.InjectPrefetch: 12us [12us] (0.00%; 1.04%)
				tir.TextureFlatten: 25us [25us] (0.00%; 2.16%)
				tir.StorageFlatten: 228us [21us] (0.00%; 19.83%)
					tir.StorageFlatten_impl: 207us [8us] (0.00%; 90.67%)
						tir.BufferShapeLegalize: 34us [34us] (0.00%; 16.23%)
						tir.BufferStrideLegalize: 22us [22us] (0.00%; 10.66%)
						tir.ThreadScopePropagate: 16us [16us] (0.00%; 7.84%)
						tir.BufferBindUnwrapper: 20us [20us] (0.00%; 9.71%)
						tir.ApplyLayoutTransforms: 3us [3us] (0.00%; 1.63%)
						tir.StorageFlattener: 92us [92us] (0.00%; 44.19%)
						tir.AssertSimplifier: 12us [12us] (0.00%; 5.91%)
				tir.LowerCrossThreadReduction: 5us [5us] (0.00%; 0.42%)
				tir.LowerInitBlock: 5us [5us] (0.00%; 0.41%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.35%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.35%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.33%)
				tir.ManifestSharedMemoryLocalStage: 6us [6us] (0.00%; 0.55%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.34%)
				tir.LowerMatchBuffer: 13us [13us] (0.00%; 1.15%)
				tir.InjectSoftwarePipeline: 21us [21us] (0.00%; 1.84%)
				tir.LowerOpaqueBlock: 5us [5us] (0.00%; 0.40%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.34%)
				tir.BF16Legalize: 28us [4us] (0.00%; 2.42%)
					tir.BF16Promote: 7us [7us] (0.00%; 26.44%)
					tir.BF16CastElimination: 6us [6us] (0.00%; 21.69%)
					tir.BF16TypeLowering: 10us [10us] (0.00%; 36.21%)
				tir.NarrowDataType: 46us [46us] (0.00%; 3.95%)
				tir.Simplify: 118us [118us] (0.00%; 10.25%)
				tir.LoopPartition: 18us [18us] (0.00%; 1.52%)
				tir.VectorizeLoop: 4us [4us] (0.00%; 0.37%)
				tir.InjectVirtualThread: 16us [16us] (0.00%; 1.39%)
				tir.InjectDoubleBuffer: 6us [6us] (0.00%; 0.56%)
				tir.StorageRewrite: 56us [56us] (0.00%; 4.87%)
				tir.LowerVtcmAlloc: 7us [7us] (0.00%; 0.58%)
				tir.UnrollLoop: 10us [10us] (0.00%; 0.84%)
				tir.RenormalizeSplitPattern: 81us [81us] (0.00%; 7.01%)
				tir.Simplify: 85us [85us] (0.00%; 7.42%)
				tir.RemoveNoOp: 17us [17us] (0.00%; 1.47%)
