sequential: 21705098us [646us] (95.82%; 95.82%)
	RemoveUnusedFunctions: 1163us [1163us] (0.01%; 0.01%)
	ToBasicBlockNormalForm: 18402us [18402us] (0.08%; 0.08%)
	qnn.Legalize: 171111us [57us] (0.76%; 0.79%)
		InferType: 47761us [47761us] (0.21%; 27.91%)
		Legalize: 50369us [13343us] (0.22%; 29.44%)
			InferType: 37026us [37026us] (0.16%; 73.51%)
		InferType: 32068us [32068us] (0.14%; 18.74%)
		Legalize: 40855us [11883us] (0.18%; 23.88%)
			InferType: 28972us [28972us] (0.13%; 70.91%)
	InferType: 26142us [26142us] (0.12%; 0.12%)
	Legalize: 48279us [16817us] (0.21%; 0.22%)
		InferType: 31463us [31463us] (0.14%; 65.17%)
	InferType: 36861us [36861us] (0.16%; 0.17%)
	SimplifyInference: 48752us [10396us] (0.22%; 0.22%)
		InferType: 38356us [38356us] (0.17%; 78.68%)
	InferType: 42750us [42750us] (0.19%; 0.20%)
	EliminateCommonSubexpr: 108957us [80401us] (0.48%; 0.50%)
		InferType: 28555us [28555us] (0.13%; 26.21%)
	FoldConstant: 12504383us [12475352us] (55.20%; 57.61%)
		InferType: 29030us [29030us] (0.13%; 0.23%)
	FoldScaleAxis: 193533us [70us] (0.85%; 0.89%)
		InferType: 27411us [27411us] (0.12%; 14.16%)
		BackwardFoldScaleAxis: 41404us [11127us] (0.18%; 21.39%)
			InferType: 30277us [30277us] (0.13%; 73.13%)
		InferType: 31595us [31595us] (0.14%; 16.33%)
		ForwardFoldScaleAxis: 48842us [15890us] (0.22%; 25.24%)
			InferType: 32952us [32952us] (0.15%; 67.47%)
		FoldConstant: 44210us [10068us] (0.20%; 22.84%)
			InferType: 34141us [34141us] (0.15%; 77.23%)
	InferType: 33479us [33479us] (0.15%; 0.15%)
	SimplifyExpr: 3209346us [703749us] (14.17%; 14.79%)
		InferType: 60220us [60220us] (0.27%; 1.88%)
		InferType: 50210us [50210us] (0.22%; 1.56%)
		InferType: 53558us [53558us] (0.24%; 1.67%)
		InferType: 46425us [46425us] (0.20%; 1.45%)
		InferType: 47153us [47153us] (0.21%; 1.47%)
		InferType: 49537us [49537us] (0.22%; 1.54%)
		InferType: 48623us [48623us] (0.21%; 1.52%)
		InferType: 46468us [46468us] (0.21%; 1.45%)
		InferType: 47742us [47742us] (0.21%; 1.49%)
		InferType: 60573us [60573us] (0.27%; 1.89%)
		InferType: 77232us [77232us] (0.34%; 2.41%)
		InferType: 62749us [62749us] (0.28%; 1.96%)
		InferType: 52232us [52232us] (0.23%; 1.63%)
		InferType: 52436us [52436us] (0.23%; 1.63%)
		InferType: 48065us [48065us] (0.21%; 1.50%)
		InferType: 44443us [44443us] (0.20%; 1.38%)
