sequential: 14926913us [222us] (94.96%; 94.96%)
	RemoveUnusedFunctions: 760us [760us] (0.00%; 0.01%)
	ToBasicBlockNormalForm: 12080us [12080us] (0.08%; 0.08%)
	sequential: 148582us [41us] (0.95%; 1.00%)
		InferType: 30682us [30682us] (0.20%; 20.65%)
		Legalize: 45957us [11333us] (0.29%; 30.93%)
			InferType: 34624us [34624us] (0.22%; 75.34%)
		InferType: 32529us [32529us] (0.21%; 21.89%)
		Legalize: 39374us [10483us] (0.25%; 26.50%)
			InferType: 28890us [28890us] (0.18%; 73.38%)
	InferType: 31669us [31669us] (0.20%; 0.21%)
	Legalize: 50854us [20328us] (0.32%; 0.34%)
		InferType: 30525us [30525us] (0.19%; 60.03%)
	InferType: 30464us [30464us] (0.19%; 0.20%)
	SimplifyInference: 46786us [12869us] (0.30%; 0.31%)
		InferType: 33917us [33917us] (0.22%; 72.49%)
	InferType: 35315us [35315us] (0.22%; 0.24%)
	EliminateCommonSubexpr: 112423us [79513us] (0.72%; 0.75%)
		InferType: 32910us [32910us] (0.21%; 29.27%)
	FoldConstant: 7821036us [7792010us] (49.75%; 52.40%)
		InferType: 29026us [29026us] (0.18%; 0.37%)
	FoldScaleAxis: 191228us [87us] (1.22%; 1.28%)
		InferType: 28460us [28460us] (0.18%; 14.88%)
		BackwardFoldScaleAxis: 41113us [13538us] (0.26%; 21.50%)
			InferType: 27576us [27576us] (0.18%; 67.07%)
		InferType: 29715us [29715us] (0.19%; 15.54%)
		ForwardFoldScaleAxis: 49391us [16723us] (0.31%; 25.83%)
			InferType: 32669us [32669us] (0.21%; 66.14%)
		FoldConstant: 42461us [10128us] (0.27%; 22.20%)
			InferType: 32333us [32333us] (0.21%; 76.15%)
	InferType: 31752us [31752us] (0.20%; 0.21%)
	SimplifyExpr: 2559912us [536006us] (16.28%; 17.15%)
		InferType: 58394us [58394us] (0.37%; 2.28%)
		InferType: 61185us [61185us] (0.39%; 2.39%)
		InferType: 63783us [63783us] (0.41%; 2.49%)
		InferType: 57196us [57196us] (0.36%; 2.23%)
		InferType: 59668us [59668us] (0.38%; 2.33%)
		InferType: 60509us [60509us] (0.38%; 2.36%)
		InferType: 56498us [56498us] (0.36%; 2.21%)
		InferType: 60942us [60942us] (0.39%; 2.38%)
		InferType: 62030us [62030us] (0.39%; 2.42%)
		InferType: 58975us [58975us] (0.38%; 2.30%)
		InferType: 57496us [57496us] (0.37%; 2.25%)
		InferType: 57775us [57775us] (0.37%; 2.26%)
		InferType: 58943us [58943us] (0.37%; 2.30%)
		InferType: 59132us [59132us] (0.38%; 2.31%)
		InferType: 60823us [60823us] (0.39%; 2.38%)
		InferType: 60092us [60092us] (0.38%; 2.35%)
		InferType: 54891us [54891us] (0.35%; 2.14%)
		InferType: 55908us [55908us] (0.36%; 2.18%)
		InferType: 58613us [58613us] (0.37%; 2.29%)
		InferType: 57200us [57200us] (0.36%; 2.23%)
		InferType: 56017us [56017us] (0.36%; 2.19%)
		InferType: 58658us [58658us] (0.37%; 2.29%)
		InferType: 59255us [59255us] (0.38%; 2.31%)
		InferType: 56993us [56993us] (0.36%; 2.23%)
		InferType: 60911us [60911us] (0.39%; 2.38%)
		InferType: 61038us [61038us] (0.39%; 2.38%)
		InferType: 56902us [56902us] (0.36%; 2.22%)
		InferType: 60027us [60027us] (0.38%; 2.34%)
		InferType: 55454us [55454us] (0.35%; 2.17%)
		InferType: 59212us [59212us] (0.38%; 2.31%)
		InferType: 62654us [62654us] (0.40%; 2.45%)
		InferType: 55869us [55869us] (0.36%; 2.18%)
		InferType: 56619us [56619us] (0.36%; 2.21%)
		InferType: 57580us [57580us] (0.37%; 2.25%)
		InferType: 26665us [26665us] (0.17%; 1.04%)
	InferType: 31159us [31159us] (0.20%; 0.21%)
	CanonicalizeCast: 36266us [8741us] (0.23%; 0.24%)
		InferType: 27525us [27525us] (0.18%; 75.90%)
	InferType: 26403us [26403us] (0.17%; 0.18%)
	CanonicalizeOps: 39085us [11583us] (0.25%; 0.26%)
		InferType: 27501us [27501us] (0.17%; 70.36%)
	InferType: 29245us [29245us] (0.19%; 0.20%)
	FlattenAtrousConv: 38400us [9374us] (0.24%; 0.26%)
		InferType: 29025us [29025us] (0.18%; 75.59%)
	InferType: 28660us [28660us] (0.18%; 0.19%)
	InferType: 28595us [28595us] (0.18%; 0.19%)
	AlterOpLayout: 276781us [238022us] (1.76%; 1.85%)
		InferType: 38759us [38759us] (0.25%; 14.00%)
	FoldConstant: 3010204us [2981225us] (19.15%; 20.17%)
		InferType: 28978us [28978us] (0.18%; 0.96%)
	InferType: 30044us [30044us] (0.19%; 0.20%)
	SplitArgs: 39743us [9663us] (0.25%; 0.27%)
		InferType: 30080us [30080us] (0.19%; 75.69%)
	PlanDevices: 118141us [15us] (0.75%; 0.79%)
		PlanDevicesRewrite: 41920us [9867us] (0.27%; 35.48%)
			InferType: 32053us [32053us] (0.20%; 76.46%)
		PlanDevicesCore: 76206us [76206us] (0.48%; 64.50%)
	InferType: 31210us [31210us] (0.20%; 0.21%)
	FuseOps: 89900us [28140us] (0.57%; 0.60%)
		InferType: 61759us [61759us] (0.39%; 68.70%)
InferType: 58883us [58883us] (0.37%; 0.37%)
InlineGlobals: 1854us [1854us] (0.01%; 0.01%)
InferType: 57672us [57672us] (0.37%; 0.37%)
LabelOps: 146089us [88805us] (0.93%; 0.93%)
	InferType: 57284us [57284us] (0.36%; 39.21%)
AnnotateMemoryScope: 76182us [16824us] (0.48%; 0.48%)
	InferType: 59358us [59358us] (0.38%; 77.92%)
sequential: 421798us [29us] (2.68%; 2.68%)
	RelayToTIRTargetHook: 1830us [1830us] (0.01%; 0.43%)
	InferType: 62382us [62382us] (0.40%; 14.79%)
	LowerTE: 328306us [1858us] (2.09%; 77.84%)
		LowerTensorExpr: 326448us [204851us] (2.08%; 99.43%)
			sequential: 1538us [53us] (0.01%; 0.47%)
				tir.InjectPrefetch: 13us [13us] (0.00%; 0.88%)
				tir.TextureFlatten: 20us [20us] (0.00%; 1.27%)
				tir.StorageFlatten: 248us [20us] (0.00%; 16.15%)
					tir.StorageFlatten_impl: 229us [8us] (0.00%; 92.09%)
						tir.BufferShapeLegalize: 27us [27us] (0.00%; 11.63%)
						tir.BufferStrideLegalize: 19us [19us] (0.00%; 8.20%)
						tir.ThreadScopePropagate: 10us [10us] (0.00%; 4.41%)
						tir.BufferBindUnwrapper: 16us [16us] (0.00%; 7.15%)
						tir.ApplyLayoutTransforms: 3us [3us] (0.00%; 1.42%)
						tir.StorageFlattener: 136us [136us] (0.00%; 59.40%)
						tir.AssertSimplifier: 10us [10us] (0.00%; 4.48%)
				tir.LowerCrossThreadReduction: 5us [5us] (0.00%; 0.31%)
				tir.LowerInitBlock: 5us [5us] (0.00%; 0.31%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.27%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.25%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.25%)
