sequential: 14829641us [220us] (94.98%; 94.98%)
	RemoveUnusedFunctions: 961us [961us] (0.01%; 0.01%)
	ToBasicBlockNormalForm: 12483us [12483us] (0.08%; 0.08%)
	sequential: 145326us [39us] (0.93%; 0.98%)
		InferType: 29065us [29065us] (0.19%; 20.00%)
		Legalize: 46140us [13123us] (0.30%; 31.75%)
			InferType: 33017us [33017us] (0.21%; 71.56%)
		InferType: 29787us [29787us] (0.19%; 20.50%)
		Legalize: 40296us [10394us] (0.26%; 27.73%)
			InferType: 29902us [29902us] (0.19%; 74.21%)
	InferType: 32263us [32263us] (0.21%; 0.22%)
	Legalize: 45331us [15986us] (0.29%; 0.31%)
		InferType: 29345us [29345us] (0.19%; 64.74%)
	InferType: 29582us [29582us] (0.19%; 0.20%)
	SimplifyInference: 49743us [11520us] (0.32%; 0.34%)
		InferType: 38222us [38222us] (0.24%; 76.84%)
	InferType: 34796us [34796us] (0.22%; 0.23%)
	EliminateCommonSubexpr: 111737us [79185us] (0.72%; 0.75%)
		InferType: 32552us [32552us] (0.21%; 29.13%)
	FoldConstant: 7749810us [7720494us] (49.64%; 52.26%)
		InferType: 29316us [29316us] (0.19%; 0.38%)
	FoldScaleAxis: 208241us [53us] (1.33%; 1.40%)
		InferType: 33416us [33416us] (0.21%; 16.05%)
		BackwardFoldScaleAxis: 48536us [16840us] (0.31%; 23.31%)
			InferType: 31697us [31697us] (0.20%; 65.30%)
		InferType: 35253us [35253us] (0.23%; 16.93%)
		ForwardFoldScaleAxis: 49923us [16807us] (0.32%; 23.97%)
			InferType: 33116us [33116us] (0.21%; 66.33%)
		FoldConstant: 41060us [11078us] (0.26%; 19.72%)
			InferType: 29982us [29982us] (0.19%; 73.02%)
	InferType: 34750us [34750us] (0.22%; 0.23%)
	SimplifyExpr: 2627239us [539191us] (16.83%; 17.72%)
		InferType: 57667us [57667us] (0.37%; 2.19%)
		InferType: 66615us [66615us] (0.43%; 2.54%)
		InferType: 72501us [72501us] (0.46%; 2.76%)
		InferType: 62933us [62933us] (0.40%; 2.40%)
		InferType: 66618us [66618us] (0.43%; 2.54%)
		InferType: 66452us [66452us] (0.43%; 2.53%)
		InferType: 65697us [65697us] (0.42%; 2.50%)
		InferType: 67366us [67366us] (0.43%; 2.56%)
		InferType: 69755us [69755us] (0.45%; 2.66%)
		InferType: 57154us [57154us] (0.37%; 2.18%)
		InferType: 64730us [64730us] (0.41%; 2.46%)
		InferType: 61928us [61928us] (0.40%; 2.36%)
		InferType: 70049us [70049us] (0.45%; 2.67%)
		InferType: 56226us [56226us] (0.36%; 2.14%)
		InferType: 59308us [59308us] (0.38%; 2.26%)
		InferType: 57008us [57008us] (0.37%; 2.17%)
		InferType: 63515us [63515us] (0.41%; 2.42%)
		InferType: 55513us [55513us] (0.36%; 2.11%)
		InferType: 57729us [57729us] (0.37%; 2.20%)
		InferType: 54849us [54849us] (0.35%; 2.09%)
		InferType: 55141us [55141us] (0.35%; 2.10%)
		InferType: 55739us [55739us] (0.36%; 2.12%)
		InferType: 61344us [61344us] (0.39%; 2.33%)
		InferType: 57769us [57769us] (0.37%; 2.20%)
		InferType: 58023us [58023us] (0.37%; 2.21%)
		InferType: 55467us [55467us] (0.36%; 2.11%)
		InferType: 65774us [65774us] (0.42%; 2.50%)
		InferType: 57045us [57045us] (0.37%; 2.17%)
		InferType: 56175us [56175us] (0.36%; 2.14%)
		InferType: 56713us [56713us] (0.36%; 2.16%)
		InferType: 59602us [59602us] (0.38%; 2.27%)
		InferType: 56004us [56004us] (0.36%; 2.13%)
		InferType: 55084us [55084us] (0.35%; 2.10%)
		InferType: 58270us [58270us] (0.37%; 2.22%)
		InferType: 26287us [26287us] (0.17%; 1.00%)
