sequential: 33391632us [236us] (95.68%; 95.68%)
	RemoveUnusedFunctions: 334us [334us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 5329us [5329us] (0.02%; 0.02%)
	sequential: 81761us [37us] (0.23%; 0.24%)
		InferType: 20238us [20238us] (0.06%; 24.75%)
		Legalize: 21162us [3598us] (0.06%; 25.88%)
			InferType: 17564us [17564us] (0.05%; 83.00%)
		InferType: 16699us [16699us] (0.05%; 20.42%)
		Legalize: 23625us [3551us] (0.07%; 28.89%)
			InferType: 20074us [20074us] (0.06%; 84.97%)
	InferType: 21382us [21382us] (0.06%; 0.06%)
	Legalize: 29170us [10429us] (0.08%; 0.09%)
		InferType: 18742us [18742us] (0.05%; 64.25%)
	InferType: 18620us [18620us] (0.05%; 0.06%)
	SimplifyInference: 38160us [8489us] (0.11%; 0.11%)
		InferType: 29671us [29671us] (0.09%; 77.75%)
	InferType: 29099us [29099us] (0.08%; 0.09%)
	EliminateCommonSubexpr: 61366us [29117us] (0.18%; 0.18%)
		InferType: 32249us [32249us] (0.09%; 52.55%)
	FoldConstant: 16189523us [16173235us] (46.39%; 48.48%)
		InferType: 16289us [16289us] (0.05%; 0.10%)
	FoldScaleAxis: 6069075us [45us] (17.39%; 18.18%)
		InferType: 15923us [15923us] (0.05%; 0.26%)
		BackwardFoldScaleAxis: 32606us [11849us] (0.09%; 0.54%)
			InferType: 20757us [20757us] (0.06%; 63.66%)
		InferType: 22255us [22255us] (0.06%; 0.37%)
		ForwardFoldScaleAxis: 29157us [10428us] (0.08%; 0.48%)
			InferType: 18729us [18729us] (0.05%; 64.24%)
		FoldConstant: 5969090us [5953342us] (17.10%; 98.35%)
			InferType: 15748us [15748us] (0.05%; 0.26%)
	InferType: 14867us [14867us] (0.04%; 0.04%)
	SimplifyExpr: 532590us [65933us] (1.53%; 1.59%)
		InferType: 26800us [26800us] (0.08%; 5.03%)
		InferType: 24689us [24689us] (0.07%; 4.64%)
		InferType: 25923us [25923us] (0.07%; 4.87%)
		InferType: 24685us [24685us] (0.07%; 4.63%)
		InferType: 25027us [25027us] (0.07%; 4.70%)
		InferType: 25598us [25598us] (0.07%; 4.81%)
		InferType: 29760us [29760us] (0.09%; 5.59%)
		InferType: 26521us [26521us] (0.08%; 4.98%)
		InferType: 26742us [26742us] (0.08%; 5.02%)
		InferType: 27819us [27819us] (0.08%; 5.22%)
		InferType: 26561us [26561us] (0.08%; 4.99%)
		InferType: 28767us [28767us] (0.08%; 5.40%)
		InferType: 28905us [28905us] (0.08%; 5.43%)
		InferType: 26999us [26999us] (0.08%; 5.07%)
		InferType: 26471us [26471us] (0.08%; 4.97%)
		InferType: 24884us [24884us] (0.07%; 4.67%)
		InferType: 26226us [26226us] (0.08%; 4.92%)
		InferType: 14278us [14278us] (0.04%; 2.68%)
	InferType: 13364us [13364us] (0.04%; 0.04%)
	CanonicalizeCast: 15532us [2806us] (0.04%; 0.05%)
		InferType: 12726us [12726us] (0.04%; 81.93%)
	InferType: 12476us [12476us] (0.04%; 0.04%)
	CanonicalizeOps: 16944us [2263us] (0.05%; 0.05%)
		InferType: 14682us [14682us] (0.04%; 86.65%)
	InferType: 12715us [12715us] (0.04%; 0.04%)
	FlattenAtrousConv: 14577us [2308us] (0.04%; 0.04%)
		InferType: 12269us [12269us] (0.04%; 84.17%)
	InferType: 15381us [15381us] (0.04%; 0.05%)
	InferType: 14864us [14864us] (0.04%; 0.04%)
	AlterOpLayout: 284206us [250925us] (0.81%; 0.85%)
		InferType: 33281us [33281us] (0.10%; 11.71%)
	FoldConstant: 9747701us [9728205us] (27.93%; 29.19%)
		InferType: 19496us [19496us] (0.06%; 0.20%)
	InferType: 21880us [21880us] (0.06%; 0.07%)
	SplitArgs: 26010us [3808us] (0.07%; 0.08%)
		InferType: 22202us [22202us] (0.06%; 85.36%)
	PlanDevices: 42081us [47us] (0.12%; 0.13%)
		PlanDevicesRewrite: 22838us [2872us] (0.07%; 54.27%)
			InferType: 19966us [19966us] (0.06%; 87.43%)
		PlanDevicesCore: 19196us [19196us] (0.06%; 45.62%)
	InferType: 21030us [21030us] (0.06%; 0.06%)
	FuseOps: 41357us [9677us] (0.12%; 0.12%)
		InferType: 31679us [31679us] (0.09%; 76.60%)
InferType: 30695us [30695us] (0.09%; 0.09%)
InlineGlobals: 527us [527us] (0.00%; 0.00%)
InferType: 33474us [33474us] (0.10%; 0.10%)
LabelOps: 61406us [30113us] (0.18%; 0.18%)
	InferType: 31294us [31294us] (0.09%; 50.96%)
AnnotateMemoryScope: 39465us [6498us] (0.11%; 0.11%)
	InferType: 32966us [32966us] (0.09%; 83.53%)
sequential: 1230323us [27us] (3.53%; 3.53%)
	RelayToTIRTargetHook: 642us [642us] (0.00%; 0.05%)
	InferType: 34658us [34658us] (0.10%; 2.82%)
	LowerTE: 1185397us [2173us] (3.40%; 96.35%)
		LowerTensorExpr: 1183224us [607981us] (3.39%; 99.82%)
			sequential: 1927us [34us] (0.01%; 0.16%)
				tir.InjectPrefetch: 17us [17us] (0.00%; 0.90%)
				tir.TextureFlatten: 112us [112us] (0.00%; 5.82%)
				tir.StorageFlatten: 687us [29us] (0.00%; 35.63%)
					tir.StorageFlatten_impl: 658us [13us] (0.00%; 95.84%)
						tir.BufferShapeLegalize: 177us [177us] (0.00%; 26.96%)
						tir.BufferStrideLegalize: 106us [106us] (0.00%; 16.16%)
						tir.ThreadScopePropagate: 12us [12us] (0.00%; 1.86%)
						tir.BufferBindUnwrapper: 82us [82us] (0.00%; 12.51%)
						tir.ApplyLayoutTransforms: 5us [5us] (0.00%; 0.70%)
						tir.StorageFlattener: 186us [186us] (0.00%; 28.32%)
						tir.AssertSimplifier: 76us [76us] (0.00%; 11.51%)
				tir.LowerCrossThreadReduction: 7us [7us] (0.00%; 0.36%)
				tir.LowerInitBlock: 6us [6us] (0.00%; 0.31%)
