sequential: 6432527us [152us] (90.74%; 90.74%)
	RemoveUnusedFunctions: 108us [108us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 1423us [1423us] (0.02%; 0.02%)
	sequential: 17648us [26us] (0.25%; 0.27%)
		InferType: 4623us [4623us] (0.07%; 26.19%)
		Legalize: 4860us [1151us] (0.07%; 27.54%)
			InferType: 3710us [3710us] (0.05%; 76.33%)
		InferType: 3691us [3691us] (0.05%; 20.92%)
		Legalize: 4448us [852us] (0.06%; 25.21%)
			InferType: 3596us [3596us] (0.05%; 80.84%)
	InferType: 3651us [3651us] (0.05%; 0.06%)
	Legalize: 5968us [2206us] (0.08%; 0.09%)
		InferType: 3763us [3763us] (0.05%; 63.04%)
	InferType: 3681us [3681us] (0.05%; 0.06%)
	SimplifyInference: 8775us [1940us] (0.12%; 0.14%)
		InferType: 6835us [6835us] (0.10%; 77.90%)
	InferType: 7101us [7101us] (0.10%; 0.11%)
	EliminateCommonSubexpr: 9253us [2804us] (0.13%; 0.14%)
		InferType: 6449us [6449us] (0.09%; 69.70%)
	FoldConstant: 3199614us [3196161us] (45.14%; 49.74%)
		InferType: 3452us [3452us] (0.05%; 0.11%)
	FoldScaleAxis: 1284568us [26us] (18.12%; 19.97%)
		InferType: 3405us [3405us] (0.05%; 0.27%)
		BackwardFoldScaleAxis: 5982us [2082us] (0.08%; 0.47%)
			InferType: 3900us [3900us] (0.06%; 65.19%)
		InferType: 3991us [3991us] (0.06%; 0.31%)
		ForwardFoldScaleAxis: 5773us [1876us] (0.08%; 0.45%)
			InferType: 3897us [3897us] (0.05%; 67.51%)
		FoldConstant: 1265389us [1261833us] (17.85%; 98.51%)
			InferType: 3556us [3556us] (0.05%; 0.28%)
	InferType: 2866us [2866us] (0.04%; 0.04%)
	SimplifyExpr: 120107us [16828us] (1.69%; 1.87%)
		InferType: 6287us [6287us] (0.09%; 5.23%)
		InferType: 5826us [5826us] (0.08%; 4.85%)
		InferType: 5758us [5758us] (0.08%; 4.79%)
		InferType: 5896us [5896us] (0.08%; 4.91%)
		InferType: 5772us [5772us] (0.08%; 4.81%)
		InferType: 6203us [6203us] (0.09%; 5.16%)
		InferType: 6676us [6676us] (0.09%; 5.56%)
		InferType: 6390us [6390us] (0.09%; 5.32%)
		InferType: 5589us [5589us] (0.08%; 4.65%)
		InferType: 5543us [5543us] (0.08%; 4.62%)
		InferType: 5968us [5968us] (0.08%; 4.97%)
		InferType: 6026us [6026us] (0.09%; 5.02%)
		InferType: 5552us [5552us] (0.08%; 4.62%)
		InferType: 6077us [6077us] (0.09%; 5.06%)
		InferType: 6008us [6008us] (0.08%; 5.00%)
		InferType: 5559us [5559us] (0.08%; 4.63%)
		InferType: 5463us [5463us] (0.08%; 4.55%)
