sequential: 32194060us [230us] (95.66%; 95.66%)
	RemoveUnusedFunctions: 298us [298us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 4421us [4421us] (0.01%; 0.01%)
	sequential: 77327us [32us] (0.23%; 0.24%)
		InferType: 17180us [17180us] (0.05%; 22.22%)
		Legalize: 21480us [3781us] (0.06%; 27.78%)
			InferType: 17699us [17699us] (0.05%; 82.40%)
		InferType: 17634us [17634us] (0.05%; 22.80%)
		Legalize: 21000us [3652us] (0.06%; 27.16%)
			InferType: 17348us [17348us] (0.05%; 82.61%)
	InferType: 18203us [18203us] (0.05%; 0.06%)
	Legalize: 27351us [9743us] (0.08%; 0.08%)
		InferType: 17608us [17608us] (0.05%; 64.38%)
	InferType: 16912us [16912us] (0.05%; 0.05%)
	SimplifyInference: 40662us [8776us] (0.12%; 0.13%)
		InferType: 31886us [31886us] (0.09%; 78.42%)
	InferType: 34451us [34451us] (0.10%; 0.11%)
	EliminateCommonSubexpr: 64549us [30891us] (0.19%; 0.20%)
		InferType: 33658us [33658us] (0.10%; 52.14%)
	FoldConstant: 15663274us [15647859us] (46.54%; 48.65%)
		InferType: 15415us [15415us] (0.05%; 0.10%)
	FoldScaleAxis: 5925802us [47us] (17.61%; 18.41%)
		InferType: 18658us [18658us] (0.06%; 0.31%)
		BackwardFoldScaleAxis: 26625us [9864us] (0.08%; 0.45%)
			InferType: 16761us [16761us] (0.05%; 62.95%)
		InferType: 19373us [19373us] (0.06%; 0.33%)
		ForwardFoldScaleAxis: 25076us [8042us] (0.07%; 0.42%)
			InferType: 17034us [17034us] (0.05%; 67.93%)
		FoldConstant: 5836022us [5822986us] (17.34%; 98.48%)
			InferType: 13036us [13036us] (0.04%; 0.22%)
	InferType: 13169us [13169us] (0.04%; 0.04%)
	SimplifyExpr: 529669us [65757us] (1.57%; 1.65%)
		InferType: 27701us [27701us] (0.08%; 5.23%)
		InferType: 25242us [25242us] (0.08%; 4.77%)
		InferType: 27333us [27333us] (0.08%; 5.16%)
		InferType: 25918us [25918us] (0.08%; 4.89%)
		InferType: 26257us [26257us] (0.08%; 4.96%)
		InferType: 26268us [26268us] (0.08%; 4.96%)
		InferType: 26251us [26251us] (0.08%; 4.96%)
		InferType: 27347us [27347us] (0.08%; 5.16%)
		InferType: 26133us [26133us] (0.08%; 4.93%)
		InferType: 26063us [26063us] (0.08%; 4.92%)
		InferType: 27889us [27889us] (0.08%; 5.27%)
		InferType: 28020us [28020us] (0.08%; 5.29%)
		InferType: 27566us [27566us] (0.08%; 5.20%)
		InferType: 25087us [25087us] (0.07%; 4.74%)
		InferType: 25087us [25087us] (0.07%; 4.74%)
		InferType: 26083us [26083us] (0.08%; 4.92%)
		InferType: 25825us [25825us] (0.08%; 4.88%)
		InferType: 13842us [13842us] (0.04%; 2.61%)
	InferType: 12942us [12942us] (0.04%; 0.04%)
	CanonicalizeCast: 14588us [2090us] (0.04%; 0.05%)
		InferType: 12498us [12498us] (0.04%; 85.68%)
	InferType: 13896us [13896us] (0.04%; 0.04%)
	CanonicalizeOps: 15132us [2497us] (0.04%; 0.05%)
		InferType: 12635us [12635us] (0.04%; 83.50%)
	InferType: 12782us [12782us] (0.04%; 0.04%)
	FlattenAtrousConv: 15121us [2437us] (0.04%; 0.05%)
		InferType: 12684us [12684us] (0.04%; 83.88%)
	InferType: 13761us [13761us] (0.04%; 0.04%)
	InferType: 14349us [14349us] (0.04%; 0.04%)
	AlterOpLayout: 274932us [244255us] (0.82%; 0.85%)
		InferType: 30677us [30677us] (0.09%; 11.16%)
