sequential: 14842512us [218us] (94.83%; 94.83%)
	RemoveUnusedFunctions: 743us [743us] (0.00%; 0.01%)
	ToBasicBlockNormalForm: 11935us [11935us] (0.08%; 0.08%)
	sequential: 141469us [39us] (0.90%; 0.95%)
		InferType: 27152us [27152us] (0.17%; 19.19%)
		Legalize: 38415us [9849us] (0.25%; 27.15%)
			InferType: 28565us [28565us] (0.18%; 74.36%)
		InferType: 33499us [33499us] (0.21%; 23.68%)
		Legalize: 42364us [12178us] (0.27%; 29.95%)
			InferType: 30186us [30186us] (0.19%; 71.25%)
	InferType: 32485us [32485us] (0.21%; 0.22%)
	Legalize: 48970us [16551us] (0.31%; 0.33%)
		InferType: 32419us [32419us] (0.21%; 66.20%)
	InferType: 31053us [31053us] (0.20%; 0.21%)
	SimplifyInference: 45263us [12002us] (0.29%; 0.30%)
		InferType: 33261us [33261us] (0.21%; 73.48%)
	InferType: 32358us [32358us] (0.21%; 0.22%)
	EliminateCommonSubexpr: 116904us [81356us] (0.75%; 0.79%)
		InferType: 35548us [35548us] (0.23%; 30.41%)
	FoldConstant: 7845883us [7817401us] (50.13%; 52.86%)
		InferType: 28482us [28482us] (0.18%; 0.36%)
	FoldScaleAxis: 193660us [91us] (1.24%; 1.30%)
		InferType: 28568us [28568us] (0.18%; 14.75%)
		BackwardFoldScaleAxis: 40560us [12696us] (0.26%; 20.94%)
			InferType: 27864us [27864us] (0.18%; 68.70%)
		InferType: 29871us [29871us] (0.19%; 15.42%)
		ForwardFoldScaleAxis: 50416us [16693us] (0.32%; 26.03%)
			InferType: 33723us [33723us] (0.22%; 66.89%)
		FoldConstant: 44153us [12720us] (0.28%; 22.80%)
			InferType: 31433us [31433us] (0.20%; 71.19%)
	InferType: 30478us [30478us] (0.19%; 0.21%)
	SimplifyExpr: 2536716us [518255us] (16.21%; 17.09%)
		InferType: 57068us [57068us] (0.36%; 2.25%)
		InferType: 57929us [57929us] (0.37%; 2.28%)
		InferType: 61015us [61015us] (0.39%; 2.41%)
		InferType: 57907us [57907us] (0.37%; 2.28%)
		InferType: 56300us [56300us] (0.36%; 2.22%)
		InferType: 59701us [59701us] (0.38%; 2.35%)
		InferType: 57699us [57699us] (0.37%; 2.27%)
		InferType: 58671us [58671us] (0.37%; 2.31%)
		InferType: 56067us [56067us] (0.36%; 2.21%)
		InferType: 61622us [61622us] (0.39%; 2.43%)
		InferType: 55383us [55383us] (0.35%; 2.18%)
		InferType: 54862us [54862us] (0.35%; 2.16%)
		InferType: 53385us [53385us] (0.34%; 2.10%)
		InferType: 54203us [54203us] (0.35%; 2.14%)
		InferType: 60340us [60340us] (0.39%; 2.38%)
		InferType: 62433us [62433us] (0.40%; 2.46%)
		InferType: 66692us [66692us] (0.43%; 2.63%)
		InferType: 66966us [66966us] (0.43%; 2.64%)
		InferType: 57784us [57784us] (0.37%; 2.28%)
		InferType: 58538us [58538us] (0.37%; 2.31%)
		InferType: 57060us [57060us] (0.36%; 2.25%)
		InferType: 61583us [61583us] (0.39%; 2.43%)
		InferType: 58167us [58167us] (0.37%; 2.29%)
		InferType: 58879us [58879us] (0.38%; 2.32%)
		InferType: 52980us [52980us] (0.34%; 2.09%)
		InferType: 54035us [54035us] (0.35%; 2.13%)
		InferType: 53414us [53414us] (0.34%; 2.11%)
		InferType: 57881us [57881us] (0.37%; 2.28%)
		InferType: 58766us [58766us] (0.38%; 2.32%)
		InferType: 59364us [59364us] (0.38%; 2.34%)
		InferType: 63511us [63511us] (0.41%; 2.50%)
		InferType: 61191us [61191us] (0.39%; 2.41%)
		InferType: 60641us [60641us] (0.39%; 2.39%)
		InferType: 58572us [58572us] (0.37%; 2.31%)
		InferType: 27854us [27854us] (0.18%; 1.10%)
	InferType: 27436us [27436us] (0.18%; 0.18%)
	CanonicalizeCast: 37491us [8772us] (0.24%; 0.25%)
		InferType: 28718us [28718us] (0.18%; 76.60%)
	InferType: 29281us [29281us] (0.19%; 0.20%)
	CanonicalizeOps: 36079us [10177us] (0.23%; 0.24%)
